CNPJ;Razão Social;Situação Cadastral;;;;;;;;;;;;;;;;
05.144.596/0001-17;'' SCAN NVOCC E LOGISTICA LTDA'';Ativa;;;;;;;;;;;;;;;;
55.068.803/0001-70;''BMCS - AGENCIAMENTO DE CARGAS AEREA, MARITIMA E TERRESTRE LTDA'';Ativa;;;;;;;;;;;;;;;;
05.321.105/0001-66;''R.D.M. AGENCIA E OPERADOR MARITIMO LTDA;Ativa;;;;;;;;;;;;;;;;
23.568.198/0001-00;23.568.198 ALEXANDRE HARTMANN;Ativa;;;;;;;;;;;;;;;;
41.826.093/0001-95;2B IMPORTACAO, EXPORTACAO E SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
46.470.276/0001-34;2BOON LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
11.948.896/0001-51;2M INTERNATIONAL FREIGHT LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
21.436.465/0001-60;3 LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
31.299.035/0001-05;31.299.035 GIANNI CEPILE;Ativa;;;;;;;;;;;;;;;;
26.622.603/0001-19;3F DIGITAL ASSESSORIA, CONSULTORIA E COMERCIO ELETRONICO LTDA;Ativa;;;;;;;;;;;;;;;;
10.758.800/0001-20;4PARTNERS DO BRASIL LOGISTICA & ASSESSORIA EM COMERCIO EXTERIOR LTDA.;Ativa;;;;;;;;;;;;;;;;
22.120.239/0001-38;4SOLUTIONS ASSESSORIA E LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
06.015.086/0001-02;5 CONTINENTES TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
34.880.543/0001-62;5 OCEANS NVOCC AGENCIAMENTO DE TRANSPORTES E DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
32.146.657/0001-58;7KEYS LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
21.609.225/0001-10;7SHIPPING SERVICOS MARITIMOS E TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
34.432.658/0001-94;A & C SERVICOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
53.867.077/0001-20;A & F LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
04.342.469/0001-60;A & G SERVICOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
27.292.433/0001-14;A & S LOG LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
10.828.997/0001-26;A A DOS SANTOS PEREIRA TRANSPORTE;Ativa;;;;;;;;;;;;;;;;
24.872.430/0001-61;A A S CONSTRUCAO DE EMBARCACAO LTDA;Ativa;;;;;;;;;;;;;;;;
69.196.632/0001-79;A ALTERNATIVA TRANSPORTES ESPECIALIZADOS LTDA.;Ativa;;;;;;;;;;;;;;;;
06.239.276/0001-03;A B CONSULTING - COMISSARIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
05.628.843/0001-50;A C H LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
07.665.216/0001-15;A GRANDE AGENCIA DE CARGA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
22.762.223/0001-29;A J S M SERVICOS CONTABEIS LTDA;Ativa;;;;;;;;;;;;;;;;
18.664.728/0001-83;A L MAGAGNIN LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
50.210.385/0001-90;A L S LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
04.985.412/0006-93;A M FREIRE & CIA LTDA;Ativa;;;;;;;;;;;;;;;;
04.985.412/0001-89;A M FREIRE & CIA LTDA;Ativa;;;;;;;;;;;;;;;;
47.510.952/0001-19;A NUVEM LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
11.131.342/0001-67;A S BRAZIL;Ativa;;;;;;;;;;;;;;;;
11.303.525/0001-12;A S L SERVICOS MARITIMOS, IMPORTACAO E EXPORTACAO LTDA;Ativa;;;;;;;;;;;;;;;;
32.218.394/0001-45;A SOUSA DE BARROS;Ativa;;;;;;;;;;;;;;;;
42.336.925/0001-58;A VARGAS ASSESSORAMENTO E SERV ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
08.039.815/0001-96;A Z SOLUTIO ASSESSORIA EM COMERCIO INTERNACIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
07.868.223/0001-14;A&F GLOBAL LOGISTICA E TRANSPORTE INTERNACIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
02.072.537/0001-92;A' LISBOA COMISSARIA DE DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
40.085.366/0001-25;A-1 LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
05.392.943/0001-20;A. C. C. DE OLIVEIRA;Ativa;;;;;;;;;;;;;;;;
03.234.422/0001-10;A. H. C. LTDA;Ativa;;;;;;;;;;;;;;;;
38.067.899/0001-32;A. J. MIGUEL ASSESSORIA;Ativa;;;;;;;;;;;;;;;;
05.094.657/0001-89;A. MAYA DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
07.528.121/0001-50;A. P. BASTOS PRODUCOES ARTISTICAS;Ativa;;;;;;;;;;;;;;;;
04.658.431/0001-09;A. P. OLIVEIRA SERVICOS;Ativa;;;;;;;;;;;;;;;;
25.055.423/0001-30;A.C.S. AGENCIAMENTO E TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
04.939.590/0001-73;A.G. LOGISTICS DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
03.221.699/0001-08;A.G.S. CARGO LTDA;Ativa;;;;;;;;;;;;;;;;
31.195.948/0001-73;A.L. SERVICE AND FACILITIES LTDA;Ativa;;;;;;;;;;;;;;;;
47.308.310/0001-31;A.L.C. SHIPPING & LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
04.208.770/0001-85;A.M.A. COMERCIO, IMPORTACAO E EXPORTACAO LTDA;Ativa;;;;;;;;;;;;;;;;
04.786.611/0001-68;A.S.L. TRANSPORTES INTERNACIONAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
05.777.969/0001-97;A1 COMEX LTDA;Ativa;;;;;;;;;;;;;;;;
01.811.909/0001-92;AAC LOGISTICS DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
07.316.171/0001-73;ABA LOGISTICA DE TRANSPORTE INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
36.251.338/0001-63;ABACO AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
01.703.312/0001-24;ABC CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
04.869.548/0001-23;ABC LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
34.362.161/0001-47;ABILITY CARGO DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
05.233.651/0001-45;ABILITY CONSULTORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
00.196.821/0001-45;ABILITY SERVICOS DE COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
04.393.844/0001-09;ABJ AGENCIAMENTO DE CARGA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
54.377.006/0001-01;ABM TRADE COMERCIAL IMPORTADORA E EXPORTADORA LTDA;Ativa;;;;;;;;;;;;;;;;
37.442.026/0001-08;ABOARD LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
90.982.026/0001-75;ABRAO DESPACHOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
05.749.988/0001-00;ABRAPAR DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
10.246.712/0001-49;ABREU & LIMA COMISSARIA DE DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
03.259.844/0001-40;ABREU LOPES TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
11.734.601/0001-44;ABSOLUTE TRADE LTDA;Ativa;;;;;;;;;;;;;;;;
08.380.623/0001-49;ABX - PENSKE AIR & SEA LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
17.862.879/0001-83;ABX SERVICOS ADUANEIROS E LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
17.192.150/0001-47;AC GLOBAL TRAVEL LTDA;Ativa;;;;;;;;;;;;;;;;
08.924.999/0001-77;ACAMIN NAVEGACAO E SERVICOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
01.554.991/0001-17;ACAWA LOGISTICA GLOBAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.603.179/0001-10;ACAYOS SERVICOS LOGISTICOS LTDA.;Ativa;;;;;;;;;;;;;;;;
14.840.323/0001-06;ACCA AGENCIA DE NAVEGACAO TRANSPORTE DA AMAZONIA LTDA;Ativa;;;;;;;;;;;;;;;;
21.239.198/0001-30;ACCESS GLOBAL LOGISTICS TRANSPORTE INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
04.420.126/0001-76;ACCESS LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
04.151.029/0001-25;ACCIONA FORWARDING DO BRASIL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
04.607.187/0001-47;ACCOST INTERNATIONAL BUSINESS LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
10.885.659/0001-26;ACE LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
23.429.234/0001-54;ACET - ASSESSORIA EM COMERCIO EXTERIOR E TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
43.718.675/0001-83;ACEX - ASSESSORIA DE COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
06.015.497/0001-06;ACGROUP GLOBAL ALLIANCE TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
04.353.977/0001-43;ACGROUP WORLDWIDE BRASIL S/C LTDA;Ativa;;;;;;;;;;;;;;;;
76.251.354/0001-70;ACIDRAL EXPORTADORA DE MANUFATURADOS LTDA;Ativa;;;;;;;;;;;;;;;;
11.431.397/0001-92;ACL AGENCIAMENTOS & TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
06.695.952/0001-53;ACL CARGO TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
06.974.311/0001-38;ACME LOGISTICA INTERNACIONAL E MINERACAO LTDA;Ativa;;;;;;;;;;;;;;;;
01.919.186/0001-40;ACMEX ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
14.559.179/0001-26;ACRIMEX - CONSULTORIA E SERVICOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
25.381.701/0001-49;ACS GLOBAL ASSESSORIA EM LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
18.357.819/0001-76;ACSA CARGO LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
07.866.462/0001-35;ACSAPAR LOGISTICS - EIRELI;Ativa;;;;;;;;;;;;;;;;
09.338.944/0001-48;ACSI COMISSARIA DE DESPACHOS LTDA.;Ativa;;;;;;;;;;;;;;;;
10.634.664/0001-66;ACT LOGISTICA E TRANSPORTE LTDA;Ativa;;;;;;;;;;;;;;;;
60.761.177/0001-32;ACTA SHIPPING GLOBAL LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
07.433.647/0001-56;ACTION AGENCIAMENTO DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
07.433.647/0002-37;ACTION AGENCIAMENTO DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
07.433.647/0003-18;ACTION AGENCIAMENTO DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
07.433.647/0004-07;ACTION AGENCIAMENTO DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
07.433.647/0008-22;ACTION AGENCIAMENTO DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
58.752.312/0001-31;ACTION LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
01.898.214/0001-90;ACTIVA - COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
01.757.353/0001-01;ACTIVA DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
29.714.221/0001-03;ACTIVE COMEX ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
07.279.192/0001-66;AD GLOBAL LOGISTICS & TRADING LTDA;Ativa;;;;;;;;;;;;;;;;
00.488.897/0001-44;AD SERVICE CONSULTORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
24.875.425/0001-02;AD SHIPPING AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
04.762.766/0001-64;ADAIME ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
02.003.402/0007-60;ADM DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
42.746.526/0001-65;ADM3 ASSESSORIA DESEMBARACO E LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.151.985/0001-03;ADMEX CONSULTORIA E DESPACHO ADUANEIRO LTDA;Ativa;;;;;;;;;;;;;;;;
08.375.197/0001-55;ADS DO BRASIL AGENCIAMENTO DE CARGAS INTERNACIONAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
48.182.849/0001-50;ADS LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
41.186.701/0001-44;ADUANA SALVADOR - COMERCIO EXTERIOR LTDA.;Ativa;;;;;;;;;;;;;;;;
02.691.242/0001-02;ADUANEH CARGO ASSESSORIA ADUANEIRA & TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
06.209.199/0001-49;ADUANEX DESPACHOS E AGENCIAMENTO DE CARGA LTDA;Ativa;;;;;;;;;;;;;;;;
18.612.621/0001-91;ADVANCE GLOBAL LOGISTICA, CONSULTORIA E TRANSPORTE INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
00.780.904/0001-87;ADVANCE SERVICOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
