Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
ALUMAR - SÃO LUIZ - MA - ;80;79;1;84;1;1;80;2;80
ANGRA DOS REIS - BRADR;19;15;4;41;8;3;15;15;16
ANTONINA - BRANT;20;18;2;32;1;3;20;8;20
ARATU - BRARB;146;140;6;167;15;2;144;6;145
AREIA BRANCA (TERMISA) ;362;362;0;378;8;4;364;2;365
ATEM´S - MANAUS - AM - ;8;7;1;7;0;0;7;0;7
ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
BARRA DO RIACHO - ;8;8;0;20;6;0;8;6;8
BARRA DO RIO TERMINAL ;3;3;0;3;0;0;3;0;3
BELEM - BRBEL;82;78;4;99;13;3;79;4;79
BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
BIANCHINI - CANOAS - RS ;58;58;0;66;6;1;59;0;58
BRASFELS - ANGRA DOS ;0;0;0;1;0;0;0;1;0
BRASKARNE - ITAJAÍ - SC - ;3;3;0;3;0;0;3;0;3
BRASKEM - MACEIO - AL - ;22;22;0;23;0;0;22;1;22
CABEDELO - BRCDO;31;31;0;35;1;1;33;0;33
CELSE TERMINAL DE ;1;1;0;2;1;0;1;0;1
CHIBATÃO NAVEGAÇÃO E ;42;41;1;50;6;1;43;0;43
CIA FLORESTAL MONTE ;4;4;0;4;0;0;4;0;4
CIA PORTUARIA VILA ;16;16;0;29;9;3;16;1;16
CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
CIMENTO VENCEMOS DO ;3;1;2;3;0;0;2;1;2
CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
CMPC - GUAIBA - RS - ;141;141;0;152;5;4;143;0;143
COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
COTEGIPE - SALVADOR - ;24;23;1;31;4;1;24;2;24
DOW BRASIL - ARATU - BA ;21;21;0;22;0;0;21;1;21
ENSEADA INDÚSTRIA ;4;3;1;4;0;0;3;1;3
