Período: 01/02/2024 à 31/03/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;45;45;0;47;1;1;45;0;45
;ANGRA DOS REIS - BRADR;15;6;9;34;3;6;5;20;5
;ANTONINA - BRANT;15;15;0;19;3;0;16;0;16
;ARATU - BRARB;73;73;0;85;9;0;76;0;76
;AREIA BRANCA (TERMISA) ;225;225;0;226;1;0;225;0;225
;ATEM BELÉM - BRBEL007;0;0;0;0;0;0;0;0;0
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;0;0;0;0;0;0;0;0;0
;ATEM´S - MANAUS - AM - ;2;2;0;3;0;0;2;1;2
;ATRACADOURO BARRA ;26;26;0;27;1;0;26;0;26
;BARRA DO RIACHO - ;0;0;0;4;0;1;0;3;0
;BARRA DO RIO TERMINAL ;14;14;0;18;2;2;14;0;13
;BELEM - BRBEL;108;103;5;129;9;8;104;8;103
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;52;52;0;55;2;0;53;0;53
;BRASFELS - ANGRA DOS ;1;1;0;4;0;2;1;1;1
;BRASKARNE - ITAJAÍ - SC - ;2;2;0;4;2;0;2;0;2
;BRASKEM - MACEIO - AL - ;13;13;0;13;0;0;13;0;13
;CABEDELO - BRCDO;17;17;0;19;1;0;17;1;17
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;37;37;0;37;1;0;36;0;36
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;22;22;0;25;1;1;23;0;23
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;1;1;0;2;0;1;1;0;1
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;83;83;0;93;3;4;85;1;83
;COPELMI - BRCQD002;0;0;0;1;1;0;0;0;0
;COTEGIPE - SALVADOR - ;17;16;1;16;1;0;15;0;16
;DETROIT BRASIL LTDA - ;0;0;0;0;0;0;0;0;0
;DOW BRASIL - ARATU - BA ;13;13;0;13;0;0;13;0;13
;ESTALEIRO ENSEADA ;4;4;0;4;0;0;4;0;4
;ESTALEIRO JURONG - ;7;4;3;7;0;0;4;3;4
;ESTALEIRO NAVSHIP - ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;108;87;21;127;1;8;90;28;89
;FUNDEADOURO - ;1;1;0;2;0;1;1;0;1
;HERMASA DA AMAZÔNIA - ;23;23;0;25;0;0;25;0;25
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;27;2;7;0;18;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;18;18;0;24;0;2;20;2;20
;ILHEUS - BRIOS;20;19;1;24;0;2;20;2;20
;IMBITUBA - BRIBB;48;47;1;56;5;0;49;2;49
