Período: 01/11/2024 à 31/01/2025;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;96;96;0;100;2;1;97;0;96
;ANGRA DOS REIS - BRADR;76;58;18;202;20;25;60;97;59
;ANTONINA - BRANT;22;21;1;28;3;0;24;1;24
;ARATU - BRARB;99;99;0;112;11;0;100;1;98
;AREIA BRANCA (TERMISA) ;251;251;0;252;1;0;251;0;250
;ATEM BELÉM - BRBEL007;2;2;0;2;0;0;2;0;2
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;0;0;0;0;0;0;0;0;0
;ATEM´S - MANAUS - AM - ;0;0;0;0;0;0;0;0;0
;ATRACADOURO BARRA ;25;24;1;26;0;0;24;2;24
;ATRACADOURO DE ;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;0;0;0;10;2;1;0;7;0
;BARRA DO RIO TERMINAL ;16;16;0;20;3;2;15;0;15
;BELEM - BRBEL;148;142;6;176;10;8;143;15;143
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;77;71;6;82;7;0;69;6;70
;BRASKEM - MACEIO - AL - ;17;17;0;17;0;0;17;0;17
;CABEDELO - BRCDO;22;22;0;25;1;0;22;2;22
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;34;34;0;33;2;0;31;0;31
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;57;55;2;64;5;1;55;3;55
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;4;4;0;3;0;0;3;0;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
