Período: 01/05/2022 à 26/07/2022;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;75;73;2;88;5;3;75;5;75
;ANGRA DOS REIS - BRADR;36;31;5;72;7;4;33;28;32
;ANTONINA - BRANT;18;16;2;23;1;0;17;5;17
;ARATU - BRARB;130;128;2;160;15;0;134;11;133
;AREIA BRANCA (TERMISA) ;331;331;0;361;7;5;347;2;332
;ATEM´S - MANAUS - AM - ;9;8;1;9;0;0;8;1;8
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;16;16;0;23;3;0;16;4;16
;BARRA DO RIO TERMINAL ;4;3;1;6;2;0;3;1;3
;BELEM - BRBEL;81;78;3;95;6;5;80;4;80
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;50;49;1;52;1;0;50;1;50
;BRASFELS - ANGRA DOS ;1;1;0;4;1;1;1;1;1
;BRASKARNE - ITAJAÍ - SC - ;3;2;1;3;1;0;2;0;2
;BRASKEM - MACEIO - AL - ;7;7;0;9;0;0;7;2;7
;CABEDELO - BRCDO;16;16;0;25;1;0;18;6;18
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;36;35;1;43;3;3;37;0;37
;CIA FLORESTAL MONTE ;4;4;0;6;2;0;4;0;4
;CIA PORTUARIA VILA ;26;25;1;32;2;1;25;4;25
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;3;2;1;5;1;0;3;1;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;118;116;2;129;6;2;120;1;119
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;29;28;1;36;6;0;29;1;29
;DOW BRASIL - ARATU - BA ;21;21;0;25;1;0;22;2;22
;ENSEADA INDÚSTRIA ;4;3;1;4;0;0;3;1;3
;ESTALEIRO JURONG - ;1;1;0;2;0;0;1;1;1
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FERROPORT - PORTO DO ;104;95;9;116;3;1;97;15;97
