Período: 01/08/2024 à 31/10/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;91;90;1;91;1;0;89;1;90
;ANGRA DOS REIS - BRADR;74;53;21;205;11;20;47;127;47
;ANTONINA - BRANT;29;27;2;29;1;0;27;1;27
;ARATU - BRARB;122;121;1;134;13;0;120;1;121
;AREIA BRANCA (TERMISA) ;250;250;0;254;3;1;250;0;251
;ATEM BELÉM - BRBEL007;1;1;0;4;0;1;1;2;1
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;1;1;0;2;0;0;1;1;1
;ATEM´S - MANAUS - AM - ;2;2;0;2;0;0;2;0;2
;ATRACADOURO BARRA ;0;0;0;0;0;0;0;0;0
;ATRACADOURO DE ;4;0;4;11;0;5;0;6;0
;BARRA DO RIACHO - ;0;0;0;11;3;0;0;8;0
;BARRA DO RIO TERMINAL ;20;19;1;32;4;3;23;2;22
;BELEM - BRBEL;156;142;14;197;10;23;142;22;142
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;48;46;2;53;5;0;46;2;45
;BRASKEM - MACEIO - AL - ;16;16;0;18;0;1;16;1;16
;CABEDELO - BRCDO;25;25;0;30;2;0;27;1;27
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;36;36;0;53;9;4;39;1;39
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;55;55;0;68;3;10;54;1;54
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;2;2;0;3;0;0;3;0;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;125;125;0;133;3;2;126;2;126
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;32;32;0;33;1;0;32;0;32
;DETROIT BRASIL LTDA - ;0;0;0;2;0;0;0;2;0
;DOW BRASIL - ARATU - BA ;19;19;0;21;1;0;20;0;20
;ENEVA - TERMINAL GNL - ;0;0;0;3;0;1;0;2;0
;ESTALEIRO ENSEADA ;2;2;0;4;1;0;3;0;3
;ESTALEIRO JURONG - ;5;5;0;7;0;2;5;0;5
;ESTALEIRO NAVSHIP - ;13;11;2;34;6;7;12;9;12
;ETC BERTOLINI ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
