Razão Social;Situação Cadastral;Cidade;Estado
'' SCAN NVOCC E LOGISTICA LTDA'';;Santos;SP
''BMCS - AGENCIAMENTO DE CARGAS AEREA, MARITIMA E TERRESTRE LTDA'';;Santos;SP
''R.D.M. AGENCIA E OPERADOR MARITIMO LTDA;;Santos;SP
03.306.951 RAMON NEGRAO SANTOS;;Serra;ES
2BOON LOGISTICS LTDA;;São Paulo;SP
2M INTERNATIONAL FREIGHT LOGISTICA LTDA;;Cotia;SP
3 LOGISTICA INTERNACIONAL LTDA;;Santos;SP
3F DIGITAL ASSESSORIA, CONSULTORIA E COMERCIO ELETRONICO LTDA;;Marília;SP
4PARTNERS DO BRASIL LOGISTICA & ASSESSORIA EM COMERCIO EXTERIOR LTDA.;;Simões Filho;BA
4SOLUTIONS ASSESSORIA E LOGISTICA INTERNACIONAL LTDA;;São Paulo;SP
5 CONTINENTES TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
5 OCEANS NVOCC AGENCIAMENTO DE TRANSPORTES E DESPACHOS LTDA;;São Paulo;SP
7KEYS LOGISTICA INTERNACIONAL LTDA;;São Bernardo do Campo;SP
7SHIPPING SERVICOS MARITIMOS E TRANSPORTES LTDA;;Santos;SP
A & C SERVICOS ADUANEIROS LTDA;;Salvador;BA
A & G SERVICOS ADUANEIROS LTDA;;Vitória;ES
A & S LOG LOGISTICA INTERNACIONAL LTDA;;Santos;SP
A A DOS SANTOS PEREIRA TRANSPORTE;;Santarém;PA
A ALTERNATIVA TRANSPORTES ESPECIALIZADOS LTDA.;;Embu das Artes;SP
A B CONSULTING - COMISSARIA ADUANEIRA LTDA;;Natal;RN
A C H LOGISTICA LTDA;;Rio de Janeiro;RJ
A GRANDE AGENCIA DE CARGA INTERNACIONAL LTDA;;Santos;SP
A J S M SERVICOS CONTABEIS LTDA;;Tabatinga;AM
A L MAGAGNIN LOGISTICA LTDA;;Guarulhos;SP
A M FREIRE & CIA LTDA;;Manaus;AM
A M FREIRE & CIA LTDA;;Santarém;PA
A S BRAZIL;;Manaus;AM
A S L SERVICOS MARITIMOS, IMPORTACAO E EXPORTACAO LTDA;;Santos;SP
A SOUSA DE BARROS;;São Luís;MA
A VARGAS ASSESSORAMENTO E SERV ADUANEIROS LTDA;;Iguaba Grande;RJ
A Z SOLUTIO ASSESSORIA EM COMERCIO INTERNACIONAL LTDA.;;Santos;SP
A&F GLOBAL LOGISTICA E TRANSPORTE INTERNACIONAL LTDA.;;São Paulo;SP
A' LISBOA COMISSARIA DE DESPACHOS LTDA;;Itajaí;SC
A-1 LOGISTICS LTDA;;Balneário Camboriú;SC
A. C. C. DE OLIVEIRA;;Manaus;AM
A. H. C. LTDA;;Fortaleza;CE
A. J. MIGUEL ASSESSORIA;;Campinas;SP
A. MAYA DESPACHOS ADUANEIROS LTDA;;Paranaguá;PR
A. P. BASTOS PRODUCOES ARTISTICAS;;Macaé;RJ
A. P. OLIVEIRA SERVICOS;;Santana;AP
A.C.S. AGENCIAMENTO E TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
A.G. LOGISTICS DO BRASIL LTDA;;São Paulo;SP
A.G.S. CARGO LTDA;;São Paulo;SP
A.L.C. SHIPPING & LOGISTICS LTDA;;Guarulhos;SP
A.M.A. COMERCIO, IMPORTACAO E EXPORTACAO LTDA;;Rio de Janeiro;RJ
A.S.L. TRANSPORTES INTERNACIONAIS LTDA.;;Santos;SP
A1 COMEX LTDA;;Goiânia;GO
AAC LOGISTICS DO BRASIL LTDA;;Barueri;SP
ABA LOGISTICA DE TRANSPORTE INTERNACIONAL LTDA;;São Paulo;SP
ABACO AGENCIA MARITIMA LTDA;;Rio de Janeiro;RJ
ABC CARGAS LTDA;;São Bernardo do Campo;SP
ABC LOGISTICA LTDA;;Vitória;ES
ABILITY CARGO DO BRASIL LTDA;;São Bernardo do Campo;SP
ABILITY CONSULTORIA EM COMERCIO EXTERIOR LTDA;;Salvador;BA
ABILITY SERVICOS DE COMERCIO EXTERIOR LTDA;;Salvador;BA
ABJ AGENCIAMENTO DE CARGA INTERNACIONAL LTDA;;São Paulo;SP
ABOARD LOGISTICS LTDA;;São Paulo;SP
ABRAO DESPACHOS INTERNACIONAIS LTDA;;Rio Grande;RS
ABRAPAR DESPACHOS ADUANEIROS LTDA;;Foz do Iguaçu;PR
ABREU & LIMA COMISSARIA DE DESPACHOS ADUANEIROS LTDA;;Recife;PE
ABREU LOPES TRANSPORTES LTDA;;São Paulo;SP
ABX - PENSKE AIR & SEA LOGISTICA LTDA.;;São Paulo;SP
ABX SERVICOS ADUANEIROS E LOGISTICA LTDA;;Manaus;AM
AC GLOBAL TRAVEL LTDA;;Vitória;ES
ACAMIN NAVEGACAO E SERVICOS MARITIMOS LTDA;;Macaé;RJ
ACAWA LOGISTICA GLOBAL LTDA;;São Paulo;SP
ACAYOS SERVICOS LOGISTICOS LTDA.;;Vinhedo;SP
ACCA AGENCIA DE NAVEGACAO TRANSPORTE DA AMAZONIA LTDA;;Belém;PA
ACCESS GLOBAL LOGISTICS TRANSPORTE INTERNACIONAL LTDA;;Itajaí;SC
ACCESS LOGISTICS LTDA;;Santana de Parnaíba;SP
ACCIONA FORWARDING DO BRASIL LOGISTICA LTDA;;São Paulo;SP
ACCOST INTERNATIONAL BUSINESS LOGISTICS LTDA;;São Paulo;SP
ACE LOGISTICA INTERNACIONAL LTDA;;Mogi das Cruzes;SP
ACEX - ASSESSORIA DE COMERCIO EXTERIOR LTDA;;Santos;SP
ACGROUP GLOBAL ALLIANCE TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
ACGROUP WORLDWIDE BRASIL S/C LTDA;;São Paulo;SP
ACIDRAL EXPORTADORA DE MANUFATURADOS LTDA;;Curitiba;PR
ACL AGENCIAMENTOS & TRANSPORTES INTERNACIONAIS LTDA;;Santos;SP
ACL CARGO TRANSPORTES LTDA;;Santos;SP
ACME LOGISTICA INTERNACIONAL E MINERACAO LTDA;;Nova Lima;MG
ACMEX ASSESSORIA EM COMERCIO EXTERIOR LTDA;;Curitiba;PR
ACRIMEX - CONSULTORIA E SERVICOS ADUANEIROS LTDA;;São Caetano do Sul;SP
ACS GLOBAL ASSESSORIA EM LOGISTICA LTDA.;;Novo Hamburgo;RS
ACSA CARGO LOGISTICS LTDA;;Guarulhos;SP
ACSAPAR LOGISTICS - EIRELI;;Guarulhos;SP
ACSI COMISSARIA DE DESPACHOS LTDA.;;Itajaí;SC
ACT LOGISTICA E TRANSPORTE LTDA;;São Paulo;SP
ACTION AGENCIAMENTO DE CARGAS LTDA.;;Belo Horizonte;MG
ACTION AGENCIAMENTO DE CARGAS LTDA.;;Vitória;ES
ACTION AGENCIAMENTO DE CARGAS LTDA.;;Santos;SP
ACTION AGENCIAMENTO DE CARGAS LTDA.;;São Paulo;SP
ACTION AGENCIAMENTO DE CARGAS LTDA.;;Recife;PE
ACTION LOGISTICA LTDA.;;Belo Horizonte;MG
ACTIVA - COMERCIO EXTERIOR LTDA;;Itajaí;SC
ACTIVA DESPACHOS ADUANEIROS LTDA;;Santos;SP
ACTIVE COMEX ASSESSORIA EM COMERCIO EXTERIOR LTDA;;Jundiaí;SP
AD GLOBAL LOGISTICS & TRADING LTDA;;São Paulo;SP
AD SERVICE CONSULTORIA EM COMERCIO EXTERIOR LTDA;;Rio de Janeiro;RJ
AD SHIPPING AGENCIAMENTO DE CARGAS LTDA;;Santa Cruz do Sul;RS
ADAIME ASSESSORIA ADUANEIRA LTDA;;São Paulo;SP
ADM DO BRASIL LTDA;;Santos;SP
ADM3 ASSESSORIA DESEMBARACO E LOGISTICA INTERNACIONAL LTDA;;Itajaí;SC
ADMEX CONSULTORIA E DESPACHO ADUANEIRO LTDA;;Fortaleza;CE
ADS DO BRASIL AGENCIAMENTO DE CARGAS INTERNACIONAIS LTDA.;;São Paulo;SP
ADS LOGISTICA INTERNACIONAL LTDA;;Itajaí;SC
