Período: 01/05/2023 à 31/07/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;75;71;4;80;0;0;76;4;76
;ANGRA DOS REIS - BRADR;13;6;7;47;4;13;7;23;6
;ANTONINA - BRANT;13;13;0;14;0;0;14;0;14
;ARATU - BRARB;138;133;5;156;12;0;139;5;140
;AREIA BRANCA (TERMISA) ;205;205;0;274;10;55;206;3;206
;ATEM´S - MANAUS - AM - ;9;8;1;21;2;4;9;6;9
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;ATRACADOURO BARRA ;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;1;1;0;9;6;0;1;2;1
;BARRA DO RIO TERMINAL ;9;8;1;10;1;0;8;1;8
;BELEM - BRBEL;188;164;24;257;13;24;171;49;171
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;57;55;2;61;2;2;55;2;58
;BRASFELS - ANGRA DOS ;3;3;0;6;1;2;3;0;3
;BRASKARNE - ITAJAÍ - SC - ;3;3;0;4;1;0;3;0;3
;BRASKEM - MACEIO - AL - ;17;17;0;20;1;1;17;1;17
;CABEDELO - BRCDO;24;22;2;28;1;1;23;3;23
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;46;44;2;56;4;5;45;2;45
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;27;27;0;38;7;0;27;4;27
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;3;2;1;4;1;0;2;1;2
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;99;97;2;107;1;5;98;3;98
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;30;30;0;35;2;1;31;1;31
;DOW BRASIL - ARATU - BA ;21;21;0;22;0;0;21;1;21
;ENSEADA INDÚSTRIA ;5;5;0;6;0;0;6;0;6
;ESTALEIRO JURONG - ;16;14;2;25;1;3;17;4;17
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FERROPORT - PORTO DO ;133;121;12;148;7;1;125;15;125
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;150;130;20;178;16;7;135;20;136
;GERDAU AÇOS LONGOS - ;0;0;0;12;2;0;0;10;0
;HERMASA DA AMAZÔNIA - ;50;46;4;52;1;0;48;3;48
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;1;1;0;51;7;15;1;28;1
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;33;33;0;66;17;6;34;9;34
;ILHEUS - BRIOS;15;13;2;19;2;1;13;3;13
;IMBITUBA - BRIBB;70;63;7;83;6;2;68;7;68
;INSTALAÇÃO PORTUÁRIA ;0;0;0;0;0;0;0;0;0
;ITAGUAÍ - BRIGI;150;138;12;206;22;10;147;27;146
;ITAJAÍ - BRITJ;49;17;32;65;6;1;21;37;21
;ITAPOA - SC - BRIOA001;143;143;0;170;9;13;145;3;145
;ITAQUI - BRIQI;265;201;64;304;9;18;208;69;210
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;63;63;0;80;9;4;65;2;65
;MADRE DE DEUS - ;65;64;1;84;0;0;66;18;66
;MANAUS - BRMAO;1;1;0;2;1;0;1;0;1
;MERLIN LUDEMAX - RS - ;49;49;0;54;3;1;50;0;50
;NATAL - BRNAT;37;34;3;38;0;0;35;3;35
;NITERÓI - BRNTR;155;145;10;185;6;8;149;22;154
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;34;34;0;37;1;1;35;0;35
;PARANAGUA - BRPNG;615;598;17;732;33;26;635;38;617
;PECEM - BRPEC;170;159;11;192;20;0;165;7;165
;PELOTAS - BRPET;125;123;2;129;2;1;124;2;123
;POLY TERMINAIS (DOW ;1;1;0;1;0;0;1;0;1
;PONTA DA MADEIRA - ;159;126;33;196;10;9;131;46;131
;PONTA DE UBU - ES - ;26;25;1;33;4;2;26;1;25
;PORTO ALEGRE - RS - ;62;60;2;95;33;2;59;1;61
;PORTOCEL - TERMINAL ;107;103;4;117;2;3;104;8;106
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;997;985;12;1370;53;163;1009;145;1001
;PORTONAVE - ;185;185;0;213;12;9;185;7;186
;PORTO SUDESTE - ;39;38;1;48;4;0;39;5;40
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;PRAIA MOLE - ES - ;0;0;0;43;5;1;0;37;0
;RECIFE - BRREC;85;81;4;93;1;0;89;3;89
;RIO DE JANEIRO - BRRIO;1978;1868;110;2532;164;156;1959;253;1976
;RIO GRANDE - BRRIG;401;366;35;812;60;279;386;87;385
;SALVADOR - BRSSA;206;203;3;258;32;10;208;8;209
;SANTANA/MACAPA - ;21;18;3;23;1;0;19;3;19
;SANTAREM - BRSTM;51;36;15;87;8;2;40;37;40
;SANTOS - BRSSZ;1362;1238;124;1604;136;39;1272;157;1278
;SAO FRANCISCO DO SUL - ;40;39;1;161;8;54;46;53;47
;SAO SEBASTIAO - BRSSO;21;20;1;32;3;3;20;6;20
;SUAPE - BRSUA;370;357;13;444;36;16;365;27;370
;SUPER TERMINAIS - ;15;14;1;16;1;0;14;1;14
;TBO - TERMINAL ;13;13;0;13;0;0;13;0;13
;TEDUT - TERMINAL ;45;44;1;52;5;1;45;1;45
;TEMAN - PETROBRAS - ;43;39;4;62;2;7;40;13;41
;TEPORTI - TERMINAL ;4;4;0;5;0;0;5;0;5
;TERFRON - TERMINAL ;0;0;0;28;4;11;0;13;0
;TERGASUL - CANOAS - RS ;12;12;0;12;0;0;12;0;12
;TERMINAL AQUAVIARIO ;1;1;0;1;0;0;1;0;1
