Período: 01/08/2025 à 31/10/2025;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;85;82;3;90;3;1;82;4;82
;ANGRA DOS REIS - BRADR;69;60;9;228;21;41;60;106;60
;ANTONINA - BRANT;27;26;1;29;1;1;25;2;25
;ARATU - BRARB;98;98;0;122;13;0;103;6;101
;AREIA BRANCA (TERMISA) ;211;211;0;216;3;1;212;0;212
;ATEM BELÉM - BRBEL007;1;0;1;3;0;1;0;2;0
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;4;3;1;6;1;0;4;1;4
;ATRACADOURO BARRA ;0;0;0;0;0;0;0;0;0
;ATRACADOURO DE ;11;6;5;13;0;0;8;5;8
;BARRA DO RIACHO - ;2;2;0;13;5;1;2;5;2
;BARRA DO RIO TERMINAL ;22;20;2;27;1;2;22;2;21
;BELEM - BRBEL;159;133;26;258;18;52;134;54;135
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;52;44;8;59;6;2;43;8;43
;BRASKEM - MACEIO - AL - ;7;7;0;9;0;1;8;0;8
;CABEDELO - BRCDO;23;23;0;23;1;0;22;0;22
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;55;54;1;59;2;1;55;1;54
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;55;52;3;60;3;3;51;3;51
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;4;4;0;4;0;0;4;0;4
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;116;114;2;135;0;7;116;12;116
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;36;35;1;42;1;1;38;2;38
;DETROIT BRASIL LTDA - ;0;0;0;0;0;0;0;0;0
;ENEVA - TERMINAL GNL - ;2;1;1;2;0;0;1;1;1
;ESTALEIRO ENSEADA ;7;6;1;7;0;0;6;1;6
;ESTALEIRO JURONG - ;2;2;0;3;0;0;2;1;2
;ESTALEIRO NAVSHIP - ;0;0;0;15;0;11;0;4;0
;ETC BERTOLINI ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;1;1;0;0;0;0
;FORTALEZA (MUCURIPE) - ;125;113;12;137;5;3;117;12;117
;FUNDEADOURO - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;47;3;18;0;26;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
