Período: 01/08/2022 à 31/10/2022;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;87;87;0;94;2;1;91;0;88
;ANGRA DOS REIS - BRADR;26;20;6;68;11;6;22;29;23
;ANTONINA - BRANT;20;17;3;22;2;0;18;2;18
;ARATU - BRARB;138;138;0;148;7;1;137;3;137
;AREIA BRANCA (TERMISA) ;316;316;0;336;8;13;315;0;314
;ATEM´S - MANAUS - AM - ;8;6;2;9;1;0;7;1;7
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;3;3;0;7;3;0;3;1;3
;BARRA DO RIO TERMINAL ;7;6;1;9;1;0;6;2;7
;BELEM - BRBEL;98;94;4;119;11;7;94;7;93
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;28;27;1;38;7;2;28;1;28
;BRASFELS - ANGRA DOS ;5;2;3;13;2;0;2;9;2
;BRASKARNE - ITAJAÍ - SC - ;13;12;1;16;3;0;12;1;12
;BRASKEM - MACEIO - AL - ;15;15;0;15;0;0;15;0;15
;CABEDELO - BRCDO;28;27;1;28;2;0;26;0;26
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;44;44;0;48;3;2;43;0;43
;CIA FLORESTAL MONTE ;1;0;1;1;0;0;0;1;0
;CIA PORTUARIA VILA ;17;17;0;23;4;0;17;2;17
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;4;3;1;3;0;0;3;0;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;131;131;0;136;3;0;133;0;133
;COPELMI - BRCQD002;0;0;0;3;3;0;0;0;0
;COTEGIPE - SALVADOR - ;32;32;0;34;0;0;33;1;32
;DOW BRASIL - ARATU - BA ;22;22;0;23;1;0;22;0;22
;ENSEADA INDÚSTRIA ;8;8;0;9;1;0;8;0;8
;ESTALEIRO JURONG - ;13;7;6;12;1;1;8;2;8
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FERROPORT - PORTO DO ;112;104;8;122;5;1;107;9;104
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;2;0;2;0;0;0
;FORTALEZA (MUCURIPE) - ;172;166;6;202;18;6;165;13;164
;GERDAU AÇOS LONGOS - ;3;3;0;6;0;0;5;1;4
;HERMASA DA AMAZÔNIA - ;23;23;0;28;2;0;26;0;27
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;47;3;19;0;25;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;21;21;0;62;12;2;22;26;22
;ILHEUS - BRIOS;8;8;0;11;0;1;7;3;7
;IMBITUBA - BRIBB;74;73;1;81;5;0;76;0;73
;ITAGUAÍ - BRIGI;148;137;11;220;38;9;139;34;139
;ITAJAÍ - BRITJ;94;73;21;132;15;15;79;23;79
;ITAPOA - SC - BRIOA001;143;143;0;152;8;1;142;1;143
;ITAQUI - BRIQI;267;225;42;315;18;24;227;46;228
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;32;31;1;62;3;18;29;12;30
;MADRE DE DEUS - ;72;71;1;88;3;2;73;10;73
;MANAUS - BRMAO;0;0;0;2;1;1;0;0;0
;MERLIN LUDEMAX - RS - ;39;39;0;46;5;0;41;0;40
;NATAL - BRNAT;70;67;3;69;2;0;67;0;67
;NITERÓI - BRNTR;138;133;5;158;12;1;131;14;139
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;16;16;0;17;1;0;16;0;16
;PARANAGUA - BRPNG;604;601;3;695;57;8;616;14;616
;PECEM - BRPEC;163;158;5;184;19;4;161;0;162
;PELOTAS - BRPET;135;135;0;146;11;0;135;0;135
