Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
    DUV    ; Porto - Bitrigrama ;                         Porto - Nome                          ; Embarcacao - IMO ; Embarcacao - Inscricao ;       Embarcacao - Nome        ; Tripulantes - Embarque ; Tripulantes - Transito ; Tripulantes - Desembarque ; Tripulantes - Total ; Passageiros - Embarque ; Passageiros - Transito ; Passageiros - Desembarque ; Passageiros - Total ;                                                                                  Estadia - Motivos Atracacao                                                                                  ; Estadia - Chegada no Porto ;  Estadia - Atracacao   ; Estadia - Desatracacao ; Estadia - Saida do Porto ; Porto Origem - Bitrigrama ;                   Porto Origem - Nome                   ; Porto Destino - Bitrigrama ;                  Porto Destino - Nome                   
  16302021 ; BRNTR              ; NITERÓI                                                       ;          9188130 ;                        ; BLUE ANGEL                     ;                      0 ;                      1 ;                         0 ;                   1 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-09-02 06:00:00-03     ; 2021-09-02 06:00:00-03 ;                        ;                          ; BRNTR                     ; NITERÓI                                                 ;                            ; 
  19002021 ; BRRIO              ; RIO DE JANEIRO                                                ;          9424962 ;                        ; SAVEIROS PELICANO              ;                      0 ;                     15 ;                         0 ;                  15 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-09-15 10:30:00-03     ; 2021-09-15 10:30:00-03 ;                        ;                          ; BRRJ022                   ; PORTO DO AÇU                                            ;                            ; 
  85162021 ; BRRIO              ; RIO DE JANEIRO                                                ;                  ; 3810423131             ; ERIDANUS                       ;                      0 ;                      3 ;                         0 ;                   3 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-07-27 19:00:00-03     ; 2021-07-27 19:00:00-03 ; 2021-09-20 18:00:00-03 ; 2021-09-20 18:00:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ;                            ; 
  85522021 ; BRRIO              ; RIO DE JANEIRO                                                ;          8663573 ;                        ; HANG BO 2002                   ;                      4 ;                      8 ;                         7 ;                  19 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-03-04 03:10:00-03     ; 2021-03-04 03:10:00-03 ; 2021-09-10 07:20:00-03 ; 2021-09-10 07:20:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRPNG                      ; PARANAGUA
  85532021 ; BRRIO              ; RIO DE JANEIRO                                                ;          8663585 ;                        ; HANG BO 2003                   ;                      3 ;                      8 ;                         4 ;                  15 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-03-03 23:45:00-03     ; 2021-03-03 23:45:00-03 ; 2021-09-10 07:30:00-03 ; 2021-09-10 07:30:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRPNG                      ; PARANAGUA
  94382021 ; BRRIO              ; RIO DE JANEIRO                                                ;                  ; 421E000368             ; XIN HAI BENG                   ;                      0 ;                      1 ;                         1 ;                   2 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-03-11 08:55:00-03     ; 2021-03-11 08:55:00-03 ; 2021-09-11 09:00:00-03 ; 2021-09-11 09:00:00-03   ; BRSSZ                     ; SANTOS                                                  ; BRPNG                      ; PARANAGUA
 140062021 ; BRRIO              ; RIO DE JANEIRO                                                ;          9271755 ; 381-050876-4           ; MARLIN FLAMENGO                ;                      0 ;                     14 ;                         0 ;                  14 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-06-17 04:15:00-03     ; 2021-06-17 04:15:00-03 ; 2021-09-13 12:30:00-03 ; 2021-09-13 12:30:00-03   ; BRRJ022                   ; PORTO DO AÇU                                            ; BRRIO                      ; RIO DE JANEIRO
 163532021 ; BRSSZ              ; SANTOS                                                        ;          9292759 ;                        ; LUIGI LAGRANGE                 ;                      8 ;                     20 ;                         7 ;                  35 ;                      1 ;                      0 ;                         0 ;                   1 ; Descarga                                                                                                                                                                                      ; 2021-09-09 13:12:00-03     ; 2021-09-18 11:25:00-03 ; 2021-09-20 14:20:00-03 ; 2021-09-20 14:20:00-03   ; ARBHI                     ; BAHIA BLANCA                                            ; BRSUA                      ; SUAPE
 184052021 ; BRRIO              ; RIO DE JANEIRO                                                ;                  ; 3813896935             ; TS ALUCINANTE                  ;                      0 ;                      8 ;                         0 ;                   8 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                     ; 2021-06-23 09:40:00-03     ; 2021-06-23 09:40:00-03 ; 2021-09-07 01:55:00-03 ; 2021-09-07 01:55:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRVIX                      ; VITÓRIA
