PORTO,NOME PORTO,CIDADE,ESTADO,REGIAO,LATITUDE,LONGITUDE
BR052001,TERMINAL FLUVIAL DE JURUTI,JURITI,PA,NORTE,-2.173782,-56.10598
BR147001,TERMINAL PORTUÁRIO FLUVIAL - COPESUL,TRIUNFO,RS,SUL,-29.94861,-51.623888
BR252002,TERM AQUAVIARIO DE GUAMARE - 3R OPERAÇÕES MARITIMAS,GUAMARÉ,RN,NORDESTE,-5.106386862,-36.3179177
BR302002,TUP NSR,NOVA SANTA RITA,RS,SUL,-29.93120421,-51.28278106
BR400001,TERMINAL DE MINERIO FERROPORT - PORTO DO AÇU,SÃO JOÃO DA BARRA,RJ,SUDESTE,-21.814444,-40.998333
BR997001,TEMINAL BELMONTE,BELMONTE,BA,NORDESTE,-16.03,-38.923749
BRADR002,TERMINAL BRASFELS,ANGRA DOS REIS,RJ,SUDESTE,-23,-44.247222
BRADR003,TERMINAL TRANSPETRO,ANGRA DOS REIS,RJ,SUDESTE,-23.061388,-44.228889
BRADR,PORTO ANGRA DOS REIS,ANGRA DOS REIS,RJ,SUDESTE,-23.01183,-44.31065
BRAJU003,ENEVA - TERMINAL GNL,BARRA DOS COQUEIROS,SE,NORDESTE,-10.843889,-36.919167
BRAMW001,ALUMAR,SÃO LUIZ,MA,NORDESTE,-2.678332,-44.360556
BRANT,PORTO DE ANTONINA,ANTONINA,PR,SUL,-25.44166667,-48.69166667
BRARB003,TERMINAL DA DOW BRASIL,ARATU,BA,NORDESTE,-12.783056,-38.476388
BRARB006,TERMINAL AQUAVIÁRIO DE MADRE DE DEUS - TRANSPETRO,MADRE DE DEUS,BA,NORDESTE,-12.753888,-38.624305
BRARB009,TERMINAL DE REGASEIFICAÇÃO,MADRE DE DEUS,BA,NORDESTE,-12.812222,-38.663333
BRARB,PORTO DE ARATU,CANDEIAS,BA,NORDESTE,-12.783333,-38.5
BRARE,PORTO DE AREIA BRANCA (TERMISA),AREIA BRANCA,RN,NORDESTE,-4.818333333,-37.04527778
BRBAR001,TERMINAL INÁCIO BARBOSA (TMIB),BARRA DOS COQUEIROS,SE,NORDESTE,-10.843889,-36.919167
BRBCS001,ATRACADOURO BARRA SUL,BALNEÁRIO DO CAMBORIÚ,SC,SUL,-26.883055,-48.673611
BRBEL007,ATEM BELÉM,BELÉM,PA,NORTE,-1.356111,-48.481389
BRBEL,PORTO BELÉM,BELÉM,PA,NORTE,-1.442222,-48.496111
BRCDO,PORTO DE CABEDELO,CABEDELO,PB,NORDESTE,-6.971610397,-34.83853431
BRFOR,PORTO DE FORTALEZA,FORTALEZA,CE,NORDESTE,-3.721398,-38.520545
BRIBB,PORTO DE IMBITUBA,IMBITUBA,SC,SUL,-28.228888,-48.658056
BRIGI006,TERMINAL MBR ILHA GUAÍBA,ITAGUAÍ,RJ,SUDESTE,-23.013332,-44.033332
BRIGI008,THYSSENKRUPP TERNIUM BR,ITAGUAÍ,RJ,SUDESTE,-22.93315,-43.83731
BRIGI009,MMX PORTO SUDESTE,ITAGUAÍ,RJ,SUDESTE,-22.925,-43.852221
BRIGI,PORTO DE ITAGUAÍ,ITAGUAÍ,RJ,SUDESTE,-22.93315,-43.83731
BRIOA001,PORTO DE ITAPOÁ,ITAPOÁ,SC,SUL,-26.182916,-48.606138
BRIOS,PORTO DE ILHÉUS,ILHÉUS,BA,NORDESTE,-14.780522,-39.026533
BRIQI,PORTO DE ITAQUI,SÃO LUIZ,MA,NORDESTE,-2.575,-44.37
BRITA001,TERMINAL HERMASA DA AMAZÔNIA LTDA,ITACOATIARA,AM,NORTE,-3.136111,-58.483611
BRITA004,TERMINAL EQUADOR LOG,ITACOATIARA,AM,NORTE,-3.136111,-58.483611
BRITA005,TERMINAL PORTUÁRIO NOVO REMANSO,ITACOATIARA,AM,NORTE,-3.2292,-59.000008
BRITA006,FUNDEADOURO,ITACOATIARA,AM,NORTE,-3.2292,-59.000008
BRITJ002,TERMINAL DA BRASKARNE,ITAJAÍ,SC,SUL,-26.897221,-48.670278
BRITJ005,TEPORTI,ITAJAÍ,SC,SUL,-26.876667,-48.711388
BRITJ006,ESTALEIRO NAVSHIP,ITAJAÍ,SC,SUL,-26.888055,-48.683889
BRITJ007,BARRA DO RIO TERMINAL PORTUÁRIO,ITAJAÍ,SC,SUL,-26.883055,-48.673611
BRITJ008,DETROIT BRASIL LTDA,ITAJAÍ,SC,SUL,-26.883055,-48.673611
BRITJ009,KEPPEL SINGMARINE BRASIL LTDA,ITAJAÍ,SC,SUL,-26.897221,-48.670278
BRITJ010,TROCADEIRO PORTOS E LOGISTICA,ITAJAÍ,SC,SUL,-26.888055,-48.683889
BRITJ,PORTO DE ITAJAÍ,ITAJAÍ,SC,SUL,-26.941667,-48.5
BRMAO002,TERMINAL AQUAVIARIO DE MANAUS,MANAUS,AM,NORTE,-3.135555,-59.938333
BRMAO004,SUPER TERMINAIS,MANAUS,AM,NORTE,-3.156944,-59.99861
BRMAO005,TERMINAL DA TRIGOLAR,MANAUS,AM,NORTE,-3.149722,-59.951667
BRMAO006,CHIBATÃO NAVEGAÇÃO E COMÉRCIO LTDA,MANAUS,AM,NORTE,-3.16,-59.99111
BRMAO007,CIMENTO VENCEMOS DO AMAZONAS,MANAUS,AM,NORTE,-3.122777,-59.923611
BRMAO017,TERMINAL FLUVIAL DISTRIBUIDORA ATEM´S,MANAUS,AM,NORTE,-3.153636,-60.000067
BRMAO087,AMAZON AÇO INDÚSTRIA COMÉRCIO LTDA,MANAUS,AM,NORTE,-3.149722,-59.951667
BRMAO,PORTO DE MANAUS,MANAUS,AM,NORTE,-3.134166667,-60.02944444
BRMCP,TERMINAL FLUVIAL DE SANTANA,MACAPÁ,AP,NORTE,-0.068333,-51.159999
BRMCZ002,BRASKEM,MACEIÓ,AL,NORDESTE,-9.693889,-35.759166
BRMCZ,PORTO DE MACEIÓ,MACEIÓ,AL,NORDESTE,-9.683333,-35.716667
BRMEA001,TERMINAL PETROBRÁS,MACAÉ,RJ,SUDESTE,-22.385833,-41.768332
BRMGU001,TERMINAL FLUVIAL CAULIM,MONTE DOURADO,PA,NORTE,-0.858307,-52.541353
BRNAT,PORTO DE NATAL,NATAL,RN,NORDESTE,-5.773333333,-35.20555556
BRNTR,PORTO DE NITERÓI,NITERÓI,RJ,SUDESTE,-22.87886,-43.12202
BRNVT001,TERMINAL PORTONAVE,NAVEGANTES,SC,SUL,-26.897777,-48.662221
BRNVT003,ATRACADOURO DE FERRY-BOAT II,NAVEGANTES,SC,SUL,-26.897777,-48.662221
BRPBO001,INSTALAÇÃO PORTUÁRIA DE TURISMO DE PORTO BELO,PORTO BELO,SC,SUL,-26.897777,-48.662221
BRPEC,PORTO DE PECÉM,SÃO GONÇALO DO AMARANTE,CE,NORDESTE,-3.526667,-38.796388
BRPET,PORTO DE PELOTAS,PELOTAS,RS,SUL,-31.78222222,-52.31805556
BRPMA001,TERMINAL CVRD - PÍER 01,SÃO LUIZ,MA,NORDESTE,-2.561943,-44.379167
BRPNG,PORTO DE PARANAGUÁ,PARANAGUÁ,PR,SUL,-25.5,-48.516667
BRPOA040,TERMINAL MERLIM,PORTO ALEGRE,RS,SUL,-30.00194444,-51.20861111
BRPOA,PORTO DE PORTO ALEGRE,PORTO ALEGRE,RS,SUL,-30.00194444,-51.20861111
BRQNS004,TERGASUL,CANOAS,RS,SUL,-29.967082,-51.203749
BRQNS007,TUP SUPERGASBRAS,CANOAS,RS,SUL,-29.967916,-51.203611
BRRCH015,TERMINAL INDUSTRIAL IMETAME,ARACRUZ,ES,SUDESTE,-19.8425,-40.0625
BRRCH,BARRA DO RIACHO - PORTOCEL,ARACRUZ,ES,SUDESTE,-19.840832,-40.057499
BRREC,PORTO DE RECIFE,RECIFE,PE,NORDESTE,-8.061124,-34.866733
BRRIG,PORTO DE RIO GRANDE,SÃO JOSÉ DO NORTE,RS,SUL,-32.122222,-52.093333
BRRIO,PORTO DO RIO DE JANEIRO,RIO DE JANEIRO,RJ,SUDESTE,-22.891944,-43.195278
BRRJ022,PORTO DO AÇU,SÃO JOÃO DA BARRA,RJ,SUDESTE,-21.814444,-40.998333
BRRS006,BIANCHINI,CANOAS,RS,SUL,-29.916111,-51.239722
BRRS010,TERMINAL AQUAVIÁRIO DE NITERÓI,NITERÓI,RJ,SUDESTE,-22.87886,-43.12202
BRRS013,CMPC,GUAÍBA,RS,SUL,-30.135833,-51.310277
BRRS015,OLEOPLAN,CANOAS,RS,SUL,-29.968471,-51.182361
BRRS022,YARA,PORTO ALEGRE,RS,SUL,-32.079721,-52.094999
BRSE002,TERMINAL AQUAVIARIO DE ARACAJU,ARACAJU,SE,NORDESTE,-10.9333,-37.0333
BRSFS003,TERMINAL AQUAVIÁRIO DE SÃO FRANCISCO DO SUL TRANSPETRO,SÃO FRANCISCO DO SUL,SC,SUL,-26.217361,-48.500971
BRSFS,PORTO DE SÃO FRANCISCO DO SUL,SÃO FRANCISCO DO SUL,SC,SUL,-26.217361,-48.500971
BRSSA004,TMG-ITAPUA - TERMINAL MARITIMO DE GRANEIS,SALVADOR,BA,NORDESTE,-12.82464477,-38.49851109
BRSSA005,COTEGIPE,SALVADOR,BA,NORDESTE,-12.786388,-38.476944
BRSSA010,ESTALEIRO ENSEADA INDÚSTRIA NAVAL S.A.,SALVADOR,BA,NORDESTE,-12.861944,-38.836111
BRSSA,PORTO DE SALVADOR,SALVADOR,BA,NORDESTE,-13.01027778,-38.58333333
BRSSO002,TERMINAL TRANSPETRO - GEBAST,SÃO SEBASTIÃO,SP,SUDESTE,-23.809993,-45.398988
BRSSO,PORTO DE SÃO SEBASTIÃO,SÃO SEBASTIÃO,SP,SUDESTE,-23.809993,-45.398988
BRSSZ,PORTO DE SANTOS,SANTOS,SP,SUDESTE,-23.95666667,-46.30833333
BRSTM008,ATEM SANTARÉM,SANTARÉM,PA,NORTE,-2.426388,-54.694443
BRSTM,PORTO FLUVIAL DE SANTARÉM,SANTARÉM,PA,NORTE,-2.413957,-54.738169
BRSUA,SUAPE,CABO DE SANTO AGOSTINHO,PE,NORDESTE,-8.394111111,-34.95997222
BRTMT001,TERMINAL FLUVIAL MRN TROMBETAS,SANTARÉM,PA,NORTE,-1.460277,-56.380277
BRTRM001,TERMINAL DA PETROBRÁS EM IMBÉ - TEDUT,IMBÉ,RS,SUL,-29.976667,-50.123333
BRVDC003,TERM. PONTA DA MONTANHA-ADM PORTOS DO PARÁ ,BARCARENA,PA,NORTE,-1.569444,-48.781666
BRVDC005,TERMINAL DA NAVEGAÇÕES UNIDAS TAPAJÓS S.A,BARCARENA,PA,NORTE,-1.503015304,-48.72379261
BRVDC008,TERMINAL HIDROVIAS DO BRASIL,BARCARENA,PA,NORTE,-1.505833,-48.736944
BRVDC,PORTO DE VILA DO CONDE,BARCARENA,PA,NORTE,-1.543666667,-48.7465
BRVIX008,CIA PORTUARIA VILA VELHA,VILA VELHA,ES,SUDESTE,-20.323889,-40.321389
BRVIX013,TERMINAL DE TUBARÃO,VITÓRIA,ES,SUDESTE,-20.288056,-40.248888
BRVIX014,TERMINAL DE PRODUTOS SIDERUGICOS - TPS - PRAIA MOLE,VITÓRIA,ES,SUDESTE,-20.296389,-40.233333
BRVIX016,TERMINAL DE CARVÃO DA CVRD - PRAIA MOLE,VITÓRIA,ES,SUDESTE,-20.296389,-40.233333
BRVIX017,TERMINAL DA SAMARCO MINERAÇÃO SA,VITÓRIA,ES,SUDESTE,-20.258333,-40.221111
BRVIX018,PORTOCEL - TERMINAL BARRA DO RIACHO,VITÓRIA,ES,SUDESTE,-19.840832,-40.057499
BRVIX021,TBO - TERMINAL BARCAÇAS OCEÂNICAS ARCELORMITTAL TUBARÃO,VITÓRIA,ES,SUDESTE,-20.288056,-40.248888
BRVIX025,TEMINAL DE BENTO FERREIRA - BERÇO 909 - ZEMAX,VITÓRIA,ES,SUDESTE,-20.320277,-40.305555
BRVIX026,ESTALEIRO JURONG - BARRA DO SAHY - ARACRUZ - ES,ARACRUZ,ES,SUDESTE,-19.8625,-40.070277
BRVIX,PORTO DE VITÓRIA,VITÓRIA,ES,SUDESTE,-20.321667,-40.336667
BR252001,TERMINAL AQUAVIARIO DE GUAMARE - TRANSPETRO,GUAMARÉ,RN,NORDESTE,-4.873611,-36.374166
BR400003,NOV FLEXIBLES,SÃO JOÃO DA BARRA,RJ,SUDESTE,-21.868888,-41.013888
BRARB004,FORD MOTOR,ARATU,BA,NORDESTE,-12.783333,-38.5
BRBEL003,CIA. REFINADORA DA AMAZÔNIA,BELÉM,PA,NORTE,-1.356111,-48.481389
BRCQD002,COPELMI,PORTO ALEGRE,RS,SUL,-29.94861,-51.623888
BRFNO,PORTO DO FORNO,ARRAIAL DO CABO,RJ,SUDESTE,-22.973333,-42.013333
BRITA007,TERMINAL PORTUARIO PROVISORIO - PORTO CHIBATAO,MANAUS,AM,NORTE,-3.16,-59.99111
BRITA008,TERMINAL PORTUÁRIO PROVISÓRIO - SUPER TERMINAIS,MANAUS,AM,NORTE,-3.156944,-59.99861
BRITJ004,TERMINAL DA DOW QUIMICA,ITAJAÍ,SC,SUL,-23.97946599,-46.28538915
BRMGU002,TERMINAL FLUVIAL CIA. FLORESTAL,MONTE DOURADO,PA,NORTE,-0.858307,-52.541353
BRRS028,YARA CANOAS,CANOAS,RS,SUL,-29.967916,-51.203611
BRSE003,CELSE TERMINAL DE REGASEIFICAÇÃO,BARRA DOS COQUEIROS,SE,NORDESTE,-10.843889,-36.919167
BRSFS002,TERMINAL DA BABITONGA,SÃO FRANCISCO DO SUL,SC,SUL,-26.217361,-48.500971
BRVDC004,TERMINAL FLUVIAL RIO CAPIM CAULIM S/A,BARCARENA,PA,NORTE,-1.49611,-48.727221
BRVLL,PORTO DE LAGUNA,LAGUNA,SC,SUL,-28.497206,-48.769
BRBA004,TERMINAL DE CARAVELAS,CARAVELAS,BA,NORDESTE,-17.751388,-39.216388
