column,dtype,missing_n,missing_pct,unique_n
vessel_id,string,94163,66.3610416152789,1536
imo,string,13878,9.78047147538673,12597
avg_wait_prev_20_calls_port,float64,550,0.38761055710208253,25655
avg_operation_prev_20_calls_port,float64,550,0.38761055710208253,123030
std_wait_prev_20_calls_port,float64,550,0.38761055710208253,26848
destination_port,string,447,0.31502167095387434,1271
destination_port_name,string,447,0.31502167095387434,1307
arrivals_prev_7d_avg_port,float64,381,0.26850840410162446,209
arrivals_prev_day_port,float64,124,0.08738856196483315,41
source_port,string,36,0.02537087282849995,1302
source_port_name,string,36,0.02537087282849995,1328
operation_type,string,32,0.02255188695866662,208
rain_sum_prev_1d,float64,3,0.0021142394023749957,675
precipitation_sum_prev_1d,float64,3,0.0021142394023749957,675
wind_speed_10m_max_prev_1d,float64,3,0.0021142394023749957,478
wind_gusts_10m_max_prev_1d,float64,3,0.0021142394023749957,197
temperature_2m_mean_prev_1d,float64,3,0.0021142394023749957,253
rain_sum_prev_3d,float64,3,0.0021142394023749957,13425
precipitation_hours_prev_3d,float64,3,0.0021142394023749957,73
temperature_2m_mean_prev_3d,float64,3,0.0021142394023749957,2166
wind_speed_10m_max_prev_3d,float64,3,0.0021142394023749957,465
wind_gusts_10m_max_prev_3d,float64,3,0.0021142394023749957,194
rain_sum_prev_7d,float64,3,0.0021142394023749957,13655
precipitation_hours_prev_7d,float64,3,0.0021142394023749957,168
temperature_2m_mean_prev_7d,float64,3,0.0021142394023749957,2532
wind_speed_10m_max_prev_7d,float64,3,0.0021142394023749957,459
wind_gusts_10m_max_prev_7d,float64,3,0.0021142394023749957,192
port_call_id,int64,0,0.0,141895
port,string,0,0.0,113
port_name,string,0,0.0,136
vessel_name,string,0,0.0,13685
arrival_port_ts,datetime64[ns],0,0.0,118626
berthing_ts,datetime64[ns],0,0.0,120056
unberthing_ts,datetime64[ns],0,0.0,123487
departure_port_ts,datetime64[ns],0,0.0,123437
port_display,string,0,0.0,113
source_port_display,string,0,0.0,1368
destination_port_display,string,0,0.0,1344
has_arrival_port_ts,bool,0,0.0,1
has_berthing_ts,bool,0,0.0,1
has_unberthing_ts,bool,0,0.0,1
has_departure_port_ts,bool,0,0.0,1
flag_arrival_after_berthing,bool,0,0.0,1
flag_berthing_after_unberthing,bool,0,0.0,1
flag_unberthing_after_departure,bool,0,0.0,1
tmp_wait_for_berthing_h,float64,0,0.0,7281
tmp_operation_h,float64,0,0.0,16527
tmp_post_operation_h,float64,0,0.0,1138
tmp_total_port_stay_h,float64,0,0.0,18712
flag_negative_tmp_wait_for_berthing_h,bool,0,0.0,1
flag_negative_tmp_operation_h,bool,0,0.0,1
flag_negative_tmp_post_operation_h,bool,0,0.0,1
