operation_flag,n_true,pct_true
op_carga,68714,48.42594876493182
op_descarga,62067,43.741498995736286
op_offshore,36960,26.047429437259943
op_abastecimento_bunker,4149,2.9239930934846186
op_solicitacao_certificado,2884,2.032488812149829
op_desembarque_passageiros,2613,1.8415025194686212
op_embarque_passageiros,2606,1.8365692941964127
op_fundeio,1472,1.0373868000986644
op_arribada,463,0.32629761443320765
op_reparo_manutencao,352,0.2480707565453328
op_navio_estado_sem_operacao_comercial,207,0.1458825187638747
op_retirada_residuos_sem_operacao_comercial,204,0.14376827936149972
op_retirada_residuos_com_operacao_comercial,193,0.13601606821945805
op_navio_estado_com_operacao_comercial,190,0.13390182881708304
op_navio_estado_marinha_brasil,188,0.1324923358821664
op_fundeio_ship_to_ship,97,0.06836040734345819
op_tipo_operacao_nao_mapeado,0,0.0
