port_display,n,mean,median,p75,p90,max
BRVDC005 - TERFRON - TERMINAL FRONTEIRA NORTE LOGISTICA S.A,198,269.17988215488214,215.75,380.29999999999995,515.2950000000002,969.0
BRVIX026 - ESTALEIRO JURONG - BARRA DO SAHY - ARACRUZ - ES,87,467.8185823754789,143.25,241.65833333333333,491.3333333333333,5787.333333333333
BRITA001 - TERMINAL HERMASA DA AMAZÔNIA LTDA - ITACOATIARA - AM,427,181.52810304449648,130.46666666666667,206.28333333333333,342.16000000000037,1589.3666666666666
BRMCP - SANTANA/MACAPA,231,117.26544011544011,122.45,148.45,172.15,334.6166666666667
BRITJ002 - TERMINAL DA BRASKARNE - ITAJAÍ - SC,61,135.1658469945355,122.16666666666667,163.38333333333333,269.68333333333334,367.2
BRMAO017 - ATEMŽS - MANAUS - AM,59,147.62033898305086,118.91666666666667,187.2,302.01,548.2666666666667
BRANT - ANTONINA,277,137.53110709987968,115.8,161.25,234.07333333333338,1361.3833333333334
BRITA001 - HERMASA DA AMAZÔNIA - ITACOATIARA - AM,32,137.046875,114.51666666666667,188.7,245.47,331.6666666666667
BRSSA004 - TMG-ITAPUA - TERMINAL MARITIMO DE GRANEIS,133,125.7967418546366,108.33333333333333,177.9,230.30666666666667,695.3333333333334
BRMAO007 - CIMENTO VENCEMOS DO AMAZONAS - MANAUS - AM,40,126.23375000000001,107.0,118.4,127.95,545.0
BRSFS - SAO FRANCISCO DO SUL,1554,261.66607679107676,105.38333333333333,274.62916666666666,568.5833333333334,5764.0
BRIGI006 - ILHA GUAÍBA - ITAGUAÍ - RJ,21,182.82222222222222,99.78333333333333,139.06666666666666,391.8333333333333,883.05
BRIGI008 - THYSSENKRUPP TERNIUM BR,429,108.99413364413364,97.66666666666667,120.11666666666666,147.97666666666666,806.3333333333334
BRSTM - SANTAREM,699,146.22355746304243,97.31666666666666,183.825,326.8400000000002,1263.1333333333334
BRSSA005 - COTEGIPE - SALVADOR - BA,378,106.69973544973546,94.43333333333334,118.83749999999999,145.88666666666668,1896.1
