state,n,mean,median,p75,p90,max
AP,312,101.01923076923077,111.45,147.47083333333333,171.80666666666667,334.6166666666667
AM,2224,113.12434802158273,70.85,121.875,232.44000000000003,1589.3666666666666
SE,208,92.50552884615385,65.25,118.27499999999999,169.02333333333334,739.0
PB,336,114.81750992063492,55.06666666666667,95.73333333333333,120.28333333333333,7520.0
PE,6101,198.76112659126917,54.43333333333333,126.16666666666667,231.16666666666666,39078.916666666664
MA,5270,72.09936432637572,50.483333333333334,72.47916666666667,115.31333333333338,1722.6666666666667
SP,19907,125.2805202525075,49.333333333333336,118.6,299.0800000000004,22802.083333333332
PA,6921,80.29743052545395,46.96666666666667,94.81666666666666,177.0,1677.1666666666667
ES,6142,73.39868663844568,42.34166666666667,71.15833333333333,117.87833333333337,69955.6
CE,4383,214.2437751920298,41.55,106.3,239.38000000000005,77638.71666666666
RJ,50368,127.9740172331639,37.5,86.0,186.9416666666669,74652.5
BA,6495,66.36643315370799,34.083333333333336,64.54166666666666,128.75,8596.0
PR,8392,76.17714291388624,33.75,75.3,151.91333333333336,7821.5
RS,12028,58.123140450060966,31.666666666666668,68.43333333333334,122.5,1589.9333333333334
SC,7824,128.08175272665304,24.308333333333334,72.7375,200.20833333333326,33978.5
AL,452,48.09981563421829,24.016666666666666,45.87083333333333,112.89833333333337,640.0
RN,4532,25.149396881435717,6.083333333333333,10.354166666666668,73.5,4570.0
