,t_wait_for_berthing_h,t_operation_h,t_post_operation_h,t_total_port_stay_h
temperature_2m_mean,-0.037830355542485324,0.0016507328641917475,-0.0039499611202273455,-0.0014918096751074283
temperature_2m_max,-0.059268418124380724,0.004218672643898232,0.0008675122582154019,-0.0005353645017799816
temperature_2m_min,-0.01745873829337335,-0.0013429228273382477,-0.007021797686462357,-0.0029140449404876077
precipitation_sum,0.02179653448480832,-0.0012267379461543971,-0.0029613083760619266,0.0004540931556985483
rain_sum,0.02179653448480832,-0.0012267379461543971,-0.0029613083760619266,0.0004540931556985483
precipitation_hours,0.017901269399688363,-0.0016384622206166584,-0.005827135791696898,-0.0003401747003358169
wind_speed_10m_max,0.005309429030218459,-0.013165235374962059,-0.0018187222972872402,-0.01272697908616502
wind_gusts_10m_max,-0.02112391359291618,-0.007655401755419741,-0.0009095439360488907,-0.009340220798632089
wind_direction_10m_dominant,0.022515187431561355,0.0030417537686557995,0.00224883488900075,0.00489192359470082
rain_sum_prev_1d,0.01714892974838884,-0.0013281258831846297,-0.0030334862468932677,-2.1196514919570377e-05
precipitation_sum_prev_1d,0.01714892974838884,-0.0013281258831846297,-0.0030334862468932677,-2.1196514919570377e-05
wind_speed_10m_max_prev_1d,0.003165784204977753,-0.015228804841476214,0.0008290900088856082,-0.014887171587318277
wind_gusts_10m_max_prev_1d,-0.022563610743866563,-0.01020012733500661,0.0008199766071172132,-0.011946753857313669
temperature_2m_mean_prev_1d,-0.03789920659682467,0.002749769554886401,-0.0030050679724375954,-0.00038068798120115255
rain_sum_prev_3d,0.02168743659089095,-0.0035804241050809696,-0.005768957108751112,-0.001967650300871253
precipitation_hours_prev_3d,0.022460572789411777,-0.0029567331895514965,-0.010882334189186865,-0.0014125609660475063
temperature_2m_mean_prev_3d,-0.03857074351165416,0.0028231451443331787,-0.0034584027627708363,-0.0003729003640656164
wind_speed_10m_max_prev_3d,0.006320661892710165,-0.01824581062331113,0.002456618502958865,-0.017596911772923787
wind_gusts_10m_max_prev_3d,-0.02274929846885067,-0.012726023072775679,0.0034413340057602385,-0.014410905806567825
rain_sum_prev_7d,0.020741523979595063,-0.0020764072974537263,-0.009627299104003598,-0.0006427208124800581
precipitation_hours_prev_7d,0.02348204247155698,-0.0010250521030539834,-0.013385522280578085,0.0005300465569004354
temperature_2m_mean_prev_7d,-0.039566522937589534,0.0013181306784874366,-0.0022900339341290757,-0.0019220477317267522
wind_speed_10m_max_prev_7d,0.008341419610264925,-0.016147137959353346,0.0011796660967640254,-0.015377119242286678
wind_gusts_10m_max_prev_7d,-0.020654034410532228,-0.010262776469903366,0.0027404093091452897,-0.01180773907421098
