model,feature_config,dataset,mae,rmse,medae,rmsle,q90_threshold_h,q95_threshold_h,n_q90,mae_q90,bias_q90,underprediction_rate_q90,n_q95,mae_q95,bias_q95,underprediction_rate_q95
1_estrutura,CONTEXTUAL,validation,47.57006532271556,99.27016804365367,19.612298707627623,0.8740812600345085,161.41666666666666,254.1333333333332,2378,227.7915144007804,-226.56554195692885,0.9911690496215307,1195,330.48964803106935,-330.40439674788917,0.9974895397489539
1_estrutura,CONTEXTUAL,calibration,41.94983110704232,87.78547789724942,17.114726368997786,0.8476927004633821,161.41666666666666,254.1333333333332,2048,218.84733911312372,-217.65726515420346,0.99169921875,946,328.7885345368204,-328.58316021502054,0.9978858350951374
2_estrutura_tempo,CONTEXTUAL,validation,47.29982976617975,98.81188037541666,19.07634929731207,0.8686141280846927,161.41666666666666,254.1333333333332,2378,226.86601291335194,-226.24374758964106,0.9945332211942809,1195,328.9699930143221,-328.9699930143221,1.0
2_estrutura_tempo,CONTEXTUAL,calibration,41.789234842533645,87.84295335268068,17.133161931105818,0.8463752279050846,161.41666666666666,254.1333333333332,2048,221.01716799532062,-220.85177199093243,0.9970703125,946,332.18622595695035,-332.18622595695035,1.0
3_estrutura_clima,CONTEXTUAL,validation,47.49488723131658,99.33807011551383,19.347308907380828,0.8726529528594945,161.41666666666666,254.1333333333332,2378,228.7504621673648,-228.01302991419368,0.9936921783010934,1195,330.87704218584815,-330.79005033559525,0.9974895397489539
3_estrutura_clima,CONTEXTUAL,calibration,41.93574697428704,87.90390680730106,17.15289158521692,0.8497167126057659,161.41666666666666,254.1333333333332,2048,220.97141842357075,-220.68617172653563,0.9951171875,946,332.5383742349497,-332.48079351747975,0.9989429175475687
4_estrutura_tempo_clima,CONTEXTUAL,validation,47.34375955146836,98.8487887524118,19.206125032900104,0.8688280665287481,161.41666666666666,254.1333333333332,2378,227.04844637414453,-226.3091835366286,0.9945332211942809,1195,328.966782829793,-328.910708771768,0.999163179916318
4_estrutura_tempo_clima,CONTEXTUAL,calibration,41.80575796673392,88.02808129856942,16.882099954769004,0.8473817845078694,161.41666666666666,254.1333333333332,2048,221.8478551621446,-221.6425533514212,0.99609375,946,333.26478181432367,-333.20414210938367,0.9989429175475687
5_historico_porto,CONTEXTUAL,validation,47.413401426411305,99.31690580708005,19.3027928155483,0.8655754231549769,161.41666666666666,254.1333333333332,2378,228.96899980035374,-228.45462735700013,0.9953742640874684,1195,331.83968550567874,-331.815971662625,0.999163179916318
5_historico_porto,CONTEXTUAL,calibration,42.08332688123357,87.56925407018589,17.966263069577927,0.8490652024966795,161.41666666666666,254.1333333333332,2048,219.17529403779082,-218.94571980718436,0.9951171875,946,330.4667750409024,-330.4043366487415,0.9989429175475687
6_estado_operacional_d1,CONTEXTUAL,validation,47.25735533339348,98.59554192962003,19.41844461299791,0.8633471582122441,161.41666666666666,254.1333333333332,2378,226.83953755057755,-226.36397851484836,0.9953742640874684,1195,329.13092990071215,-329.1097998363565,0.999163179916318
6_estado_operacional_d1,CONTEXTUAL,calibration,41.80581373200704,87.4120696048876,17.600967355214696,0.8440855994043407,161.41666666666666,254.1333333333332,2048,219.79170319051903,-219.6909989735446,0.99658203125,946,330.9218202082042,-330.9218202082042,1.0
7_historico_rota_navio,CONTEXTUAL,validation,44.535027168292615,94.40006890606779,17.982643249188616,0.8040373594202049,161.41666666666666,254.1333333333332,2378,212.4088211947071,-210.67008475053797,0.9848612279226241,1195,311.7216989028329,-311.2621693802899,0.9966527196652719
7_historico_rota_navio,CONTEXTUAL,calibration,39.42072903995411,84.69578560571152,16.20449840288274,0.7856231672173895,161.41666666666666,254.1333333333332,2048,210.2503193117417,-209.26808277434912,0.990234375,946,320.3186278493859,-320.2546351069452,0.9989429175475687
8_full_model,CONTEXTUAL,validation,44.53483123776625,94.55951468534542,17.82067734640373,0.8030518617565763,161.41666666666666,254.1333333333332,2378,213.86443399070652,-212.90708944379946,0.9894869638351556,1195,313.5978374862286,-313.5423172651229,0.999163179916318
8_full_model,CONTEXTUAL,calibration,39.44947882787363,84.41342938939424,16.325877314120117,0.7867333494795532,161.41666666666666,254.1333333333332,2048,209.76439170075213,-208.7724297777221,0.98974609375,946,319.6005158789139,-319.6005158789139,1.0
