model,feature_config,dataset,mae,rmse,medae,rmsle,q90_threshold_h,q95_threshold_h,n_q90,mae_q90,bias_q90,underprediction_rate_q90,n_q95,mae_q95,bias_q95,underprediction_rate_q95,e0_mae,mae_gain_vs_e0_h,mae_gain_vs_e0_pct
E0_original,ABLAÇÃO_HISTORICA,validation,47.303739124914024,98.98254200491365,19.03431131764821,0.86872138247896,161.41666666666666,254.1333333333332,2378,227.5810333072216,-226.9803507279288,0.9941126997476871,1195,329.94002228958567,-329.9280500897169,0.999163179916318,47.303739124914024,0.0,0.0
E0_original,ABLAÇÃO_HISTORICA,calibration,41.82982991394968,88.006984996764,16.92184575508135,0.8478010058324494,161.41666666666666,254.1333333333332,2048,221.56500056437238,-221.394641446146,0.99560546875,946,333.09497078751673,-333.08682431237276,0.9989429175475687,41.82982991394968,0.0,0.0
E1_fluxo_d1,ABLAÇÃO_HISTORICA,validation,47.400454585428704,99.04464076565205,19.147208390096687,0.8698410534449854,161.41666666666666,254.1333333333332,2378,227.886182056797,-227.35053743570242,0.9941126997476871,1195,330.20758275566527,-330.1876736746586,0.999163179916318,47.303739124914024,-0.09671546051468027,-0.20445626985064694
E1_fluxo_d1,ABLAÇÃO_HISTORICA,calibration,41.84914578800649,88.134990782658,16.808806196361815,0.8486460229024951,161.41666666666666,254.1333333333332,2048,222.46252676994226,-222.44015511438215,0.99755859375,946,334.30760044061367,-334.2983830670171,0.9989429175475687,41.82982991394968,-0.019315874056808013,-0.04617727133135301
E2_fluxo_1_3d,ABLAÇÃO_HISTORICA,validation,47.39840706789634,99.11987458935164,19.133425633870253,0.8686900746012519,161.41666666666666,254.1333333333332,2378,228.45462782565076,-227.8489487362664,0.9949537426408747,1195,330.9305796087261,-330.9305796087261,1.0,47.303739124914024,-0.09466794298231918,-0.20012782231089904
E2_fluxo_1_3d,ABLAÇÃO_HISTORICA,calibration,41.77257489496376,87.96732059818743,16.919108823315533,0.8471435627687562,161.41666666666666,254.1333333333332,2048,221.9355476691379,-221.70444349209004,0.99560546875,946,333.25186479243234,-333.2304674392932,0.9989429175475687,41.82982991394968,0.05725501898592,0.1368760501864394
E3_fluxo_1_3_7d,ABLAÇÃO_HISTORICA,validation,47.39980607510057,99.02863429330235,19.184827970339747,0.8685318140891617,161.41666666666666,254.1333333333332,2378,228.1982571350546,-227.56301627192371,0.9953742640874684,1195,330.3138840754275,-330.3138840754275,1.0,47.303739124914024,-0.09606695018654676,-0.20308532044975286
E3_fluxo_1_3_7d,ABLAÇÃO_HISTORICA,calibration,41.797416067486864,87.88415367371053,16.968077910592278,0.8470608649007925,161.41666666666666,254.1333333333332,2048,221.7816091049835,-221.6998858526554,0.99755859375,946,332.9697051326013,-332.95073162886257,0.9989429175475687,41.82982991394968,0.03241384646281631,0.07748978786071213
E4_desempenho_porto,ABLAÇÃO_HISTORICA,validation,47.58781172770845,99.61470071110222,19.56660221088405,0.8696599225524757,161.41666666666666,254.1333333333332,2378,230.49346865526988,-229.71602575546166,0.9941126997476871,1195,333.9669850380071,-333.65632356323397,0.9966527196652719,47.303739124914024,-0.28407260279442426,-0.6005288546942971
E4_desempenho_porto,ABLAÇÃO_HISTORICA,calibration,41.944775179840434,87.59429367554645,17.77709931589278,0.8473253959073822,161.41666666666666,254.1333333333332,2048,220.56864961694566,-220.42455799850518,0.99609375,946,332.0992515886154,-332.0992515886154,1.0,41.82982991394968,-0.11494526589075349,-0.27479257297295584
E5_estado_operacional,ABLAÇÃO_HISTORICA,validation,47.306487376270304,98.63471585850448,19.61349658286292,0.8624743491733863,161.41666666666666,254.1333333333332,2378,227.34505389569694,-226.64609776982834,0.9953742640874684,1195,329.8465437989355,-329.63092867242386,0.9974895397489539,47.303739124914024,-0.002748251356280207,-0.005809797295353239
E5_estado_operacional,ABLAÇÃO_HISTORICA,calibration,41.798602839208044,87.50223780740977,17.46650707273885,0.8453353844898845,161.41666666666666,254.1333333333332,2048,220.06378698071512,-219.90683058270315,0.9951171875,946,331.4876778590218,-331.48359981722484,0.9989429175475687,41.82982991394968,0.03122707474163633,0.07465264574557241
E6_historico_adicional,ABLAÇÃO_HISTORICA,validation,44.53483123776625,94.55951468534542,17.82067734640373,0.8030518617565763,161.41666666666666,254.1333333333332,2378,213.86443399070652,-212.90708944379946,0.9894869638351556,1195,313.5978374862286,-313.5423172651229,0.999163179916318,47.303739124914024,2.768907887147776,5.853465155969969
E6_historico_adicional,ABLAÇÃO_HISTORICA,calibration,39.44947882787363,84.41342938939424,16.325877314120117,0.7867333494795532,161.41666666666666,254.1333333333332,2048,209.76439170075213,-208.7724297777221,0.98974609375,946,319.6005158789139,-319.6005158789139,1.0,41.82982991394968,2.380351086076054,5.690558845141847
