model,feature_config,dataset,quantile,target_coverage,empirical_coverage,pinball_loss
hgb_quantile_log,ORIGINAL,calibration,p50,0.5,0.49587860621955787,20.635437482064056
hgb_quantile_log,ORIGINAL,calibration,p90,0.9,0.8944361183964031,17.203359929702835
hgb_quantile_log,ORIGINAL,calibration,p95,0.95,0.9429561633570626,12.210678879573893
hgb_quantile_log,ORIGINAL,final_test,p50,0.5,0.49385772783544424,20.970902025726243
hgb_quantile_log,ORIGINAL,final_test,p90,0.9,0.8998190648509665,16.696245520345524
hgb_quantile_log,ORIGINAL,final_test,p95,0.95,0.9498619179125798,11.74684994650756
hgb_quantile_log,ENRICHED_SAFE_HISTORY,calibration,p50,0.5,0.5304421131509929,19.373298880332385
hgb_quantile_log,ENRICHED_SAFE_HISTORY,calibration,p90,0.9,0.899775196702885,15.435534623481452
hgb_quantile_log,ENRICHED_SAFE_HISTORY,calibration,p95,0.95,0.9434713375796179,10.942650458343637
hgb_quantile_log,ENRICHED_SAFE_HISTORY,final_test,p50,0.5,0.5099038186839349,19.345338317017276
hgb_quantile_log,ENRICHED_SAFE_HISTORY,final_test,p90,0.9,0.894771926483192,15.16947383056671
hgb_quantile_log,ENRICHED_SAFE_HISTORY,final_test,p95,0.95,0.9440529473383488,10.70212746200867
baseline_quantile_hierarchical,ORIGINAL,calibration,p50,0.5,0.5016391907081303,20.640231594230052
baseline_quantile_hierarchical,ORIGINAL,calibration,p90,0.9,0.9042244286249531,17.251019201948292
baseline_quantile_hierarchical,ORIGINAL,calibration,p95,0.95,0.950121768452604,12.143395269373679
baseline_quantile_hierarchical,ORIGINAL,final_test,p50,0.5,0.4687172650223788,20.961879225788017
baseline_quantile_hierarchical,ORIGINAL,final_test,p90,0.9,0.8949623845348063,16.60133638859791
baseline_quantile_hierarchical,ORIGINAL,final_test,p95,0.95,0.9467193600609466,11.599104531711271
