port,operation_type,n,spearman_width_abs_error,spearman_width_actual,hist_actual_std_h,mean_width_p95_p50_h,can_individualize_risk
BR052001,Carga,73,0.05232629890164137,0.02543869798976421,35.57987796414827,20.98527454802387,False
BR302002,Descarga,30,-0.029588431590656286,0.11679644048943269,26.468164182616757,36.22535973860881,False
BR400001,Carga,113,-0.049113380797125565,0.03632567936513809,64.26390208902744,130.92706256782432,False
BR400001,Descarga,80,0.13488045007032348,0.12213919461117267,23.58413312054247,64.7074887176607,False
BR997001,Carga,69,0.3026306174643771,0.3089224655681456,20.727326618971794,14.602875830493975,True
BRADR,Desembarque/Embarque de Passageiros,56,-0.07590697039676972,0.0060156543873680956,83.78116088472348,173.77836736700942,False
BRADR003,Carga e Descarga,188,0.2662113113123779,0.3669229308072134,84.67580840591526,174.57820912471806,True
BRADR003,Descarga,36,0.08828828828828829,0.2744063330220478,117.92495782917348,210.15295093429106,False
BRAMW001,Carga,46,0.3033610854147394,0.08154202101572422,18.177620550800615,105.69033093279552,True
BRAMW001,Descarga,120,-0.04596847003264115,0.18251903965412103,27.38717469879679,51.614076895652794,False
BRANT,Descarga,34,0.12391138273491215,-0.226279602750191,65.27086798424938,135.6513778013274,False
BRARB,Carga,60,0.14454015004167828,0.31276223302523687,67.33436779880246,126.81491679121743,False
BRARB,Carga e Descarga,37,0.037221431958274064,-0.4326279041679101,35.061960415120616,84.97031873936817,False
BRARB,Descarga,93,0.3276088448569126,0.32603213921654867,90.02470270522298,166.1518110005422,True
BRARB006,Carga,59,0.32139099941554655,0.20330810377190134,109.05763775477978,108.19168293123435,True
BRARB006,Carga e Descarga,71,0.319047619047619,0.18165660630449362,42.54490119122257,73.76201938294092,True
BRARB006,Descarga,34,0.2987012987012987,0.32253628724216954,103.05640926714763,129.73790627351408,True
BRARE,Carga e Descarga,38,0.06576211839369735,-0.03579247128172393,2.847970898880895,4.368192732165483,False
BRARE,Descarga,420,0.043987536533959024,-0.041419638611696216,5.606079349317707,4.244431644232076,False
BRBEL,Carga,41,0.3094076655052265,0.02509147973271473,4.770972740889319,27.328196315429988,True
BRBEL,Carga e Descarga,94,0.021392190152801357,-0.08402991005310119,93.60170509263851,68.38657839963786,False
BRBEL,Descarga,81,0.588572719060524,0.6142198183240303,45.810122880948775,52.776473763530184,True
BRCDO,Descarga,42,0.24609026821165225,0.10639332306944331,26.779830070767378,53.21490155767492,True
BRFOR,Carga e Descarga,42,0.43310914836723124,-0.22422106091902197,24.71906301616132,88.91965515374224,True
BRFOR,Descarga,112,0.04402569446817235,-0.006526177317500864,58.39602188640826,155.28099797553634,False
BRIBB,Carga,53,-0.14997581035316884,0.23391388485728107,42.25634901182763,160.64295119910264,False
BRIBB,Carga e Descarga,64,0.2799908424908425,0.07429199388379842,13.295221611543981,64.81496373366171,True
BRIBB,Descarga,41,-0.07038327526132405,0.05365853658536586,33.89513070988381,163.1836024681433,False
BRIGI,Carga,180,0.039121638201284586,-0.19435989372075196,56.747608233384334,133.19170354030484,False
BRIGI,Carga e Descarga,58,0.45725799009505064,0.4120397428404442,70.62708893490968,65.12463299387534,True
BRIGI006,Carga,45,0.06363636363636364,0.009354413702239788,30.145667519595918,141.96670682985516,False
BRIGI008,Carga,34,0.2030557677616501,0.21269768569982844,14.806398332160594,61.82562936158353,True
BRIGI008,Descarga,31,0.22983870967741934,0.1842741935483871,47.89869715106471,94.71776483552992,True
BRIGI009,Carga,77,-0.12498028287501971,-0.006309521462367874,26.17419412590971,60.48250244659872,False
BRIOA001,Carga e Descarga,319,0.0042138611226119355,0.16473475862709444,13.945773547066642,17.924223058255233,False
BRIQI,Carga,174,0.17451863663543948,0.1803780870137072,46.55858912844801,135.2643483583784,False
BRIQI,Descarga,207,0.17648093429013648,0.3346473831131613,85.66543549470683,145.65471321795786,False
BRITA001,Carga,46,0.29608387295713845,0.14585260561208757,107.44987664679611,167.9896138472058,True
BRITJ,Carga e Descarga,186,0.33756975882213075,0.13623213946940513,42.90804605496462,130.7117976307657,True
BRMAO004,Carga e Descarga,44,0.3984496124031008,-0.1744890768146582,19.22046710813924,70.08018522620183,True
BRMAO006,Carga e Descarga,93,0.12947987228074362,0.10131785577140617,14.239800921689024,66.16310846387496,False
BRMCP,Carga,33,-0.06016042780748663,0.14572192513368984,37.21389480759629,86.39651712210421,False
BRMCP,Solicitação de certificado,32,-0.2287390029325513,0.019988999907500443,7.214915029293714,165.71154038290612,False
BRMEA001,Carga e Descarga,49,0.09591836734693877,0.20826530612244895,72.36379107299561,173.3956809117021,False
BRMEA001,Off-shore,456,0.06908744474448131,0.11969771720524625,44.61187563188974,94.12734890669405,False
BRNAT,Carga,91,0.3111323459149546,0.009368689896787531,47.33433094745702,78.85807881195784,True
BRNTR,Off-shore,249,0.17841709227249397,0.16415059360936865,111.729619257285,297.55214276185563,False
BRNVT001,Carga e Descarga,218,0.21596901316928718,0.353886293974168,8.800223878036034,17.022749133723547,True
BRPEC,Carga,54,-0.1783495330665142,-0.0425767105012388,130.5988604960171,286.0311992157817,False
BRPEC,Carga e Descarga,260,0.5418295901054522,0.16517081948567783,17.015562564484004,71.31741699639474,True
BRPEC,Descarga,79,0.12614410905550144,0.08687925998052581,172.26924962423465,275.72651785102124,False
BRPET,Carga,295,0.28654491572167123,0.20158878480716486,11.470499975649682,12.911096237640537,True
BRPMA001,Carga,262,0.12239195759273587,-0.1295260953190241,13.077536071480111,40.38756126163556,False
BRPNG,Carga,379,0.298309317709401,0.2956065558018809,87.84923090827942,178.21083046624048,True
BRPNG,Carga e Descarga,531,0.03052218131362071,-0.1432549749566779,29.042294310985383,33.635949334047545,False
BRPNG,Descarga,308,0.24222477500362452,0.35334855147072963,108.36999703231132,206.8930430566426,True
BRPOA,Descarga,50,-0.2229745953993181,0.08341737501800894,29.48672835711601,73.5257424448019,False
BRPOA040,Descarga,66,-0.17745538044045508,-0.05732417598883878,19.19317898274982,33.74967344673786,False
BRREC,Carga,107,0.06134524579243324,0.22931652254181836,84.46645137737124,119.72934863316628,False
BRREC,Descarga,50,0.11327731092436974,-0.06694199008871149,54.316002828497105,212.23567813798044,False
BRRIG,Abastecimento (Bunker),67,0.17934392210072633,0.10416043102941663,34.891687896842534,163.1251999472316,False
BRRIG,Carga,281,0.1782997053239368,0.12321162956448962,84.46367995124999,186.35563587381645,False
BRRIG,Carga e Descarga,333,0.44111126493350006,0.12440827275529973,30.34054546660721,48.901010709912704,True
BRRIG,Descarga,205,0.07088567570146377,0.16877087009403174,97.43998477526502,210.01248299495194,False
BRRIO,Abastecimento (Bunker),202,0.3110509492240305,0.1809537502461756,51.97711359270197,151.17861912598502,True
BRRIO,Carga,84,0.21743444365698086,0.2834868887313962,95.07521486675476,181.68715668132825,True
BRRIO,Carga e Descarga,748,0.4949657335782374,0.47321344721430003,68.81653160673724,90.02402333607533,True
BRRIO,Descarga,120,0.40588929786790745,0.07132179188759134,67.53118135773369,192.8299740176067,True
BRRIO,Fundeio,31,0.03024193548387097,0.22361125227057815,189.26186674473996,303.55963194711586,False
BRRIO,Off-shore,2556,0.14361242523997936,0.05655909353096881,95.69882033670804,200.31439367597113,False
BRRJ022,Carga,38,0.1259437575227049,0.2290184921763869,113.87667165578748,198.19422519674572,False
BRRJ022,Carga e Descarga,43,0.3553307157958321,0.21458773784355178,83.30575635437405,162.94811796204874,True
BRRJ022,Descarga,38,-0.06510559142138089,-0.10866115899614927,94.65542180161805,219.12218577163793,False
BRRJ022,Off-shore,1493,0.12123454548426713,0.07195862359267512,60.28425863905888,106.24265519738543,False
BRRS006,Carga,77,0.2966244282033755,0.03722183984152779,75.8906860554631,114.21890723154345,True
BRRS013,Carga e Descarga,227,0.11528328638054536,0.30267240716446275,31.84636055313532,55.35302979533397,False
BRRS015,Carga,42,-0.04594441293250142,-0.06296662920234491,10.045896803478529,37.73086231928304,False
BRRS015,Descarga,31,0.009274193548387096,0.23804724956647427,16.05980415317916,38.48988272289715,False
BRSFS,Carga,63,0.2031490015360983,0.3108678955453149,112.87830859156298,405.10076349522615,True
BRSFS,Carga e Descarga,70,0.20734843845682793,0.25057960030541526,103.12420883970589,266.44648868740035,True
BRSFS,Descarga,81,0.46565040650406503,0.5366531165311653,218.88890402762058,345.66416721688455,True
BRSSA,Carga e Descarga,123,0.24164527737292182,0.28805210934443204,24.362538736398697,50.33239580518025,True
BRSSO002,Descarga,288,0.38160343046831363,0.33651031292277367,74.25597340927848,112.5247461649693,True
BRSSZ,Carga,1069,0.3231225346722977,0.40048148417419704,145.27501704352318,310.3243198239471,True
BRSSZ,Carga e Descarga,1208,0.2967970486634772,0.37571971253851455,34.22856995649009,92.5895799773053,True
BRSSZ,Descarga,398,0.29068383146009774,0.3879225642585628,171.0801504570621,277.4544079627476,True
BRSSZ,Desembarque/Embarque de Passageiros,50,0.22861944777911164,-0.16463243104334727,4.0100873515290685,46.36159582124966,True
BRSTM,Carga,55,-0.09610389610389612,0.0022366522366522373,63.85507148180852,226.96744242081093,False
BRSTM,Descarga,30,0.057174638487208,0.1804226918798665,185.78350276100446,258.47892329380505,False
BRSUA,Carga,190,0.2802599867907115,0.32374041561145445,94.10767086362517,182.84072518960963,True
BRSUA,Carga e Descarga,303,0.49344736669554023,0.22036508697480645,39.37159660184272,56.235895878567064,True
BRSUA,Descarga,232,0.32734403379660143,0.25837960171157937,104.52449759572113,225.54692605924143,True
BRTMT001,Carga,106,0.19188855581026273,0.32958993970930045,12.123641291794616,20.218424789750628,False
BRTRM001,Descarga,58,0.2549140238087914,0.28279192827456545,102.65538197038698,186.62826983446664,True
BRVDC,Carga,216,0.5170256849926768,0.6863411292789631,77.68987883270563,123.1879655180004,True
BRVDC,Carga e Descarga,124,0.23046456406726257,0.30592652388161223,54.469294516583716,62.40592285616933,True
BRVDC,Descarga,99,0.46064316635745206,0.2371930649147546,71.82288583741557,144.58226400018256,True
BRVIX008,Off-shore,101,0.37149679673849734,-0.004321780443445618,26.68611422152398,46.70342466973306,True
BRVIX013,Carga,202,0.012390614842676825,-0.015559551282083492,12.833257077080319,32.875191222169875,False
BRVIX014,Carga,116,0.09274593472494523,0.0016414932591258765,65.53924695024043,77.21165960254216,False
BRVIX017,Carga,75,0.09847935248012063,0.39378938533976293,53.95861915747457,76.70296007816086,False
BRVIX018,Carga,106,0.06876590170541855,0.16164949492404967,35.45103170989804,85.1397733135353,False
BRVIX018,Descarga,86,-0.06105004953063823,0.03597424347062893,30.80793376686817,35.33827076227725,False
