feature,familia,descricao_linguagem_negocio,disponibilidade_temporal,regra_de_construcao,existia_originalmente_na_eda,foi_reconstruida_devido_a_leakage,entra_na_modelagem_final
port,ESTRUTURAL_GEOGRAFICA,Identifica porto e recortes geograficos associados ao contexto operacional.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
region,ESTRUTURAL_GEOGRAFICA,Identifica porto e recortes geograficos associados ao contexto operacional.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
state,ESTRUTURAL_GEOGRAFICA,Identifica porto e recortes geograficos associados ao contexto operacional.,Disponivel ou tratada como declarada no instante de chegada.,Usar diretamente no modelo com imputacao ajustada no treino.,True,False,True
arrival_shift,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_season,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_quarter,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_weekofyear,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_is_weekend,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_hour_sin,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_hour_cos,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_dow_sin,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_dow_cos,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_month_sin,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
arrival_month_cos,TEMPORAL,Representa sazonalidade e horario de chegada da escala.,Disponivel no instante de chegada.,Derivada diretamente de arrival_port_ts.,True,False,True
rain_sum_prev_1d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
precipitation_sum_prev_1d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
wind_speed_10m_max_prev_1d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
wind_gusts_10m_max_prev_1d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
temperature_2m_mean_prev_1d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
rain_sum_prev_3d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
precipitation_hours_prev_3d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
temperature_2m_mean_prev_3d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
wind_speed_10m_max_prev_3d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
wind_gusts_10m_max_prev_3d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
rain_sum_prev_7d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
precipitation_hours_prev_7d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
temperature_2m_mean_prev_7d,CLIMATICA_HISTORICA,Resume condicoes climaticas historicas antes da chegada.,"Historico climatico defasado, excluindo o dia da chegada.",Usar colunas prev_1d/prev_3d/prev_7d ja defasadas na base.,True,False,True
