family,feature_origin,n_features,total_importance_h,mean_importance_h,max_importance_h
ESTRUTURAL_GEOGRAFICA,original,3,5.31901536463401,1.77300512154467,5.308253738793392
OPERACIONAL_DA_ESCALA,original,17,3.947257786058323,0.232191634474019,1.547499658419459
HISTORICO_DE_ROTA,new,4,2.879432541180968,0.719858135295242,2.365470470757856
HISTORICO_DE_ORIGEM,new,4,1.3149237161177254,0.32873092902943135,0.8261844883853868
ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,new,5,0.8583415079020043,0.17166830158040086,0.7791316663204455
HISTORICO_EMBARCACAO_PORTO,new,4,0.8131833724682096,0.2032958431170524,0.4188824155581348
HISTORICO_DE_DESTINO,new,4,0.5097746705903768,0.1274436676475942,0.22181149834363603
HISTORICO_DA_EMBARCACAO,new,8,0.38867921990234083,0.048584902487792604,0.24181162929129366
DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,new,18,0.23658179591206618,0.013143433106225899,0.11343341202793529
FLUXO_PORTUARIO_HISTORICO,new,17,0.10479198228958116,0.006164234252328303,0.052977569994456054
MIX_OPERACIONAL_RECENTE,new,10,0.03298369074886409,0.0032983690748864094,0.02482996189038289
TEMPORAL,original,11,0.02612429052315217,0.0023749355021047427,0.0437899045858264
CLIMATICA_HISTORICA,original,15,0.0035930589842744637,0.00023953726561829757,0.05292969306250702
