feature,feature_origin,family,importance_mae_increase_h,importance_std_h,sample_size,model_family
port,original,ESTRUTURAL_GEOGRAFICA,5.308253738793392,0.031598797539431275,2500,hgb
route_total_known_median,new,HISTORICO_DE_ROTA,2.365470470757856,0.22255038855773085,2500,hgb
op_carga,original,OPERACIONAL_DA_ESCALA,1.547499658419459,0.19549836575026747,2500,hgb
op_descarga,original,OPERACIONAL_DA_ESCALA,1.2353754114893765,0.07494882899106778,2500,hgb
source_total_known_median,new,HISTORICO_DE_ORIGEM,0.8261844883853868,0.09750029058833089,2500,hgb
state_waiting_vessels_d_minus_1,new,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,0.7791316663204455,0.0972197029937867,2500,hgb
vessel_port_total_known_median,new,HISTORICO_EMBARCACAO_PORTO,0.4188824155581348,0.08720352907969608,2500,hgb
op_desembarque_passageiros,original,OPERACIONAL_DA_ESCALA,0.3933763729417663,0.07717042018244483,2500,hgb
source_total_known_mean,new,HISTORICO_DE_ORIGEM,0.3599608204313564,0.021154849193463443,2500,hgb
vessel_port_total_known_mean,new,HISTORICO_EMBARCACAO_PORTO,0.34184723064648637,0.07478340666262782,2500,hgb
route_total_known_mean,new,HISTORICO_DE_ROTA,0.3058194637097221,0.05309324897268572,2500,hgb
op_abastecimento_bunker,original,OPERACIONAL_DA_ESCALA,0.29569510860731657,0.027320059319155786,2500,hgb
op_reparo_manutencao,original,OPERACIONAL_DA_ESCALA,0.2427406310257775,0.055768225695080983,2500,hgb
vessel_total_known_median,new,HISTORICO_DA_EMBARCACAO,0.24181162929129366,0.0523470000431406,2500,hgb
route_total_known_count,new,HISTORICO_DE_ROTA,0.22577619688356046,0.018132792162612547,2500,hgb
destination_total_known_median,new,HISTORICO_DE_DESTINO,0.22181149834363603,0.06918005492397653,2500,hgb
destination_total_known_mean,new,HISTORICO_DE_DESTINO,0.19985566953350778,0.08686691293403058,2500,hgb
source_total_known_count,new,HISTORICO_DE_ORIGEM,0.11867018370375604,0.022054761809361376,2500,hgb
port_wait_known_count,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.11343341202793529,0.03505004925625843,2500,hgb
op_arribada,original,OPERACIONAL_DA_ESCALA,0.08016098145932678,0.0062469128368535095,2500,hgb
vessel_total_known_q90,new,HISTORICO_DA_EMBARCACAO,0.07526808370056177,0.04140514216325048,2500,hgb
destination_total_known_q90,new,HISTORICO_DE_DESTINO,0.06227446587041404,0.03227270962337084,2500,hgb
op_offshore,original,OPERACIONAL_DA_ESCALA,0.05875970247695269,0.011011556655253113,2500,hgb
departures_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,0.052977569994456054,0.011472982598438116,2500,hgb
temperature_2m_mean_prev_1d,original,CLIMATICA_HISTORICA,0.05292969306250702,0.009978085732108384,2500,hgb
flow_balance_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,0.048544137429028446,0.02630760979065965,2500,hgb
port_total_known_q90,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.04824836362479582,0.01703250737618132,2500,hgb
arrival_hour_sin,original,TEMPORAL,0.0437899045858264,0.008492341780693404,2500,hgb
vessel_wait_known_mean,new,HISTORICO_DA_EMBARCACAO,0.04336787678834497,0.030661509153934268,2500,hgb
op_embarque_passageiros,original,OPERACIONAL_DA_ESCALA,0.04004235422151936,0.00863970092713985,2500,hgb
state_berthed_vessels_d_minus_1,new,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,0.03956612550514175,0.014321947991229224,2500,hgb
vessel_port_total_known_q90,new,HISTORICO_EMBARCACAO_PORTO,0.03948465197580712,0.09277605727583475,2500,hgb
state_backlog_vessels_d_minus_1,new,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,0.03877247604358539,0.015249750442467685,2500,hgb
op_solicitacao_certificado,original,OPERACIONAL_DA_ESCALA,0.03229644035366164,0.00797821769441719,2500,hgb
vessel_total_known_mean,new,HISTORICO_DA_EMBARCACAO,0.031909647390558384,0.013465098017599802,2500,hgb
port_total_known_mean,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.028928017571814735,0.02203434625013945,2500,hgb
port_operation_known_count,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.027469315155734364,0.012912843693960108,2500,hgb
destination_total_known_count,new,HISTORICO_DE_DESTINO,0.025833036842819013,0.022535770990722587,2500,hgb
op_fundeio_ship_to_ship,original,OPERACIONAL_DA_ESCALA,0.025428263206315194,0.003198926226363128,2500,hgb
port_operation_known_q90,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.025024584378032937,0.01648059534611929,2500,hgb
opmix_offshore_share_prev_7d,new,MIX_OPERACIONAL_RECENTE,0.02482996189038289,0.007372168453884827,2500,hgb
flow_balance_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,0.023707460565264665,0.004955724619843879,2500,hgb
arrival_shift,original,TEMPORAL,0.019989220365789134,0.008361919012867113,2500,hgb
wind_gusts_10m_max_prev_7d,original,CLIMATICA_HISTORICA,0.018401798505493616,0.01291295174902023,2500,hgb
wind_speed_10m_max_prev_7d,original,CLIMATICA_HISTORICA,0.018092201997442697,0.02313636118424245,2500,hgb
opmix_descarga_share_prev_3d,new,MIX_OPERACIONAL_RECENTE,0.017394445956085747,0.018699400838745633,2500,hgb
arrivals_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,0.01718983532748079,0.005001333535508345,2500,hgb
port_wait_known_q95,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.017176028352632027,0.005144591997767221,2500,hgb
opmix_descarga_share_prev_7d,new,MIX_OPERACIONAL_RECENTE,0.0164736939462576,0.007686074681003045,2500,hgb
port_total_known_median,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.014482704875860009,0.001567608053303379,2500,hgb
port_wait_known_q90,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.013959616000773186,0.0012321269592943107,2500,hgb
opmix_offshore_share_prev_3d,new,MIX_OPERACIONAL_RECENTE,0.013305502271488004,0.004679390681430781,2500,hgb
vessel_port_total_known_count,new,HISTORICO_EMBARCACAO_PORTO,0.012969074287781268,0.01812403174053948,2500,hgb
departures_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,0.012092734781525394,0.004374240189370621,2500,hgb
state,original,ESTRUTURAL_GEOGRAFICA,0.01112876655034493,0.006690214876299937,2500,hgb
source_total_known_q90,new,HISTORICO_DE_ORIGEM,0.010108223597226148,0.012953783476039924,2500,hgb
arrival_season,original,TEMPORAL,0.007529083469916505,0.010718233638603759,2500,hgb
departures_prev_1d,new,FLUXO_PORTUARIO_HISTORICO,0.005351991120264188,0.0039173171206988286,2500,hgb
vessel_total_known_count,new,HISTORICO_DA_EMBARCACAO,0.005296090778017515,0.006224172205349876,2500,hgb
flow_balance_prev_1d,new,FLUXO_PORTUARIO_HISTORICO,0.0050246076424566395,0.006244066592126612,2500,hgb
rain_sum_prev_3d,original,CLIMATICA_HISTORICA,0.0039050553814234945,0.014792932119191743,2500,hgb
rain_sum_prev_7d,original,CLIMATICA_HISTORICA,0.003192758302060857,0.003084798213376742,2500,hgb
arrival_hour_cos,original,TEMPORAL,0.0022266844711632907,0.012546716737439848,2500,hgb
